THYM	Labels	N:GEXP::MARCKSL1:65108:	N:GEXP::MYBL2:4605:	N:GEXP::ARHGAP15:55843:	B:MUTA:COMP:SMAD3::	N:GEXP::LTBP3:4054:	N:GEXP::CD247:919:	N:GEXP::TRAF3IP3:80342:	N:GEXP::NEFL:4747:	N:GEXP::SLAMF1:6504:	N:METH:cg15059932:ZNF236:TssD669:Island	N:METH:cg11745019:ANGPT1:TssD483:NA	N:GEXP::CXCR4:7852:	N:GEXP::CD3E:916:	N:GEXP::CYP11A1:1583:	N:GEXP::TCF7:6932:	N:GEXP::CD1C:911:	B:MUTA:COMP:DKK2::	N:MIR::hsa-miR-498:Uncorrected:	N:GEXP::WDR67:93594:	N:GEXP::SCPEP1:59342:	N:GEXP::LTBP2:4053:	N:GEXP::TRAT1:50852:	N:GEXP::PCSK5:5125:	N:GEXP::RASGRP1:10125:	N:GEXP::LDHA:3939:	N:MIR::hsa-miR-625-3p:Corrected:	N:GEXP::LEF1:51176:	N:GEXP::LTBP4:8425:	N:GEXP::ARHGEF1:9138:	N:GEXP::BCAM:4059:	N:GEXP::CD52:1043:	N:GEXP::IKZF1:10320:	N:GEXP::ZYG11A:440590:	N:GEXP::C6orf105:84830:	N:GEXP::CHRM3:1131:	N:GEXP::TYRP1:7306:	N:GEXP::SH2D1A:4068:	N:GEXP::SIT1:27240:	N:GEXP::BCL6B:255877:	N:METH:cg06805572:HPCAL1:TssD605:Island	N:METH:cg16891895:RGS16:TssD89:Island	N:GEXP::PTGES:9536:	N:METH:cg01981027:NR4A1:TssD3185:Shelf	N:METH:cg14784398:PDE4D:TssD83074:NA	N:GEXP::SPN:6693:	N:GEXP::PRKCB:5579:	N:GEXP::CCDC109B:55013:	N:GEXP::TEAD2:8463:	N:GEXP::APBB1IP:54518:	N:METH:cg00594866:ACKR3:TssD292:Shore	N:GEXP::C18orf1:753:	N:GEXP::GRAP2:9402:	N:METH:cg08028435:PALLD:TssD104803:NA	B:MUTA:COMP:GTF2I::	N:GEXP::DNTT:1791:	N:METH:cg24244437:EDN1:TssU700:NA	N:MIR::hsa-miR-3922-3p:Corrected:	N:GEXP::VSIG10:54621:	N:GEXP::CD1A:909:	N:METH:cg21363465:OSBPL8:TssU146:Island	N:METH:cg06658146:IGFBP7-AS1:TssD53745:Shore	N:GEXP::ELOVL4:6785:	N:GEXP::TTC7A:57217:	B:MUTA:COMP:ZFP36L2::	N:GEXP::RPSAP52:204010:	N:GEXP::PTPN7:5778:	N:GEXP::DPPA4:55211:	N:METH:cg11817999:RAI1:TssD69721:Island	N:GEXP::HOXA9:3205:	N:METH:cg23335390:OSBPL8:TssU257:Shore	N:GEXP::ZAP70:7535:	N:GEXP::JAKMIP2:9832:	N:METH:cg13566279:NA:NA:NA	N:GEXP::RLTPR:146206:	N:METH:cg25739835:TECTA:TssD10114:NA	N:GEXP::CALN1:83698:	N:GEXP::MYH15:22989:	N:METH:cg25760412:TGM2:TssD28:Island	N:GEXP::FCN2:2220:	N:METH:cg24014487:TGM2:TssD31:Island	N:GEXP::TSHR:7253:	N:METH:cg24358246:MIR100HG:TssD93894:NA	N:GEXP::ZNF578:147660:	N:GEXP::CD3G:917:	N:GEXP::SASH3:54440:	N:MIR::hsa-miR-515-3p:Uncorrected:	N:METH:cg13239572:WIZ:TssU197:Shelf	I:CNVR::CDKN2B:1030:	N:GEXP::LOC257358:257358:	N:MIR::hsa-miR-519d-5p:Uncorrected:	N:MIR::hsa-miR-527:Uncorrected:	N:MIR::hsa-miR-520a-3p:Uncorrected:	N:MIR::hsa-miR-517b-3p:Uncorrected:	N:GEXP::CBFA2T3:863:	N:MIR::hsa-miR-526b-3p:Uncorrected:	N:MIR::hsa-miR-515-5p:Uncorrected:	N:MIR::hsa-miR-518d-3p:Uncorrected:	N:GEXP::ARL5C:390790:	N:METH:cg16672925:CH25H:TssU41:Shore	N:GEXP::RAP1GDS1:5910:	I:CNVR::RYR2:6262:	N:GEXP::ZNF788:388507:	N:METH:cg04099803:LPHN2:TssD151:NA
TCGA-4V-A9QM	THYM_2	3483.4	1157.7	693.84	0	14127.0	1562.4	1283.6	1.6746	499.87	0.41501000000000005	0.37125	4150.5	7106.4	0.2791	11192.0	1300.0	0	52.273	219.09	9354.6	11039.0	347.76	275.19	716.45	5464.2	579.97	6126.8	5073.7	5395.3	12032.0	3132.6	2445.2	2.7910000000000004	2.5119	116.66	129.5	2171.7	845.39	184.49	0.3624	0.29975999999999997	32.096	0.22513000000000002	0.3476	1887.0	1369.0	526.38	439.58	2286.4	0.48071	1875.3	1562.7	0.44903999999999994	0	5587.6	0.51041	3.0917	754.96	4883.7	0.58929	0.14479	942.24	2066.7	0	8.373	1696.1	178.62	0.42773999999999995	89.03299999999999	0.52045	3255.7	161.32	0.11032	1213.5	0.34808	313.15	1.6746	0.43235	72.845	0.4298	416.97	0.48352	178.34	605.92	2894.8	96.76799999999999	0.18325999999999998	0	41.586000000000006	5.9118	113.26	837.77	637.7	2082.4	24.27	173.47	4.3561	30.98	0.37200000000000005	1020.1	0	195.37	0.15516
TCGA-4V-A9QN	THYM_4	1284.4	81.493	39.418	1	2031.8	102.75	133.31	3443.1	43.403999999999996	0.038124	0.037728	572.66	377.79	76.178	38.089	24.359	0	0.0	114.27	3055.1	794.56	7.5292	2.6574	206.83	9562.6	50.355	57.13399999999999	255.55	2521.4	533.69	470.8	109.39	68.206	23.474	65.10600000000001	0.0	38.532	61.563	60.677	0.026744999999999998	0.039731	5477.3	0.042105000000000004	0.025722000000000002	108.95	39.861	176.27	61.12	1978.9	0.012342	463.71	33.217	0.05574	0	2.2145	0.035782999999999995	0.31078	193.99	85.036	0.025472	0.026298000000000002	89.465	550.46	0	1.3287	155.46	0.0	0.07166	1.7716	0.069611	86.365	2.2145	0.020025	36.318000000000005	0.050022000000000004	55.361999999999995	41.18899999999999	0.013869999999999999	0.8858	0.016461	0.4429	0.053305	5.3148	12.844000000000001	225.88	0.18686	0.10077	0	0.8858	0.0	0.37373	0.5605899999999999	0.74745	1921.7	0.0	0.18686	0.0	1.7716	0.029813	652.39	1	15.059000000000001	0.059756
TCGA-4V-A9QR	THYM_1	1823.1	981.32	702.28	0	5078.3	1602.5	1986.6	8987.2	283.13	0.07569400000000001	0.030144	7207.2	11104.0	22.183000000000003	11023.0	467.6	0	0.44727	206.07	827.79	474.61	540.57	52.538999999999994	835.38	4511.4	324.4	6679.5	711.62	12763.0	760.07	7322.2	2072.4	62.464	17.512999999999998	0.5838	0.5838	1702.3	1207.8	64.215	0.011881999999999998	0.020208	235.84	0.046494	0.032418999999999996	1682.4	585.52	911.27	57.793	2517.2	0.026378	1023.4	737.3	0.024373	0	2593.1	0.027833	0.66719	108.0	3214.8	0.030972000000000003	0.041768	395.21	1732.6	0	0.5838	2286.1	138.35	0.088685	121.42	0.030491000000000004	4459.4	116.12	0.10647000000000001	1836.5	0.030482	2269.7	36.194	0.016101	2.3351	0.014083000000000002	329.25	0.06765700000000001	26.27	243.43	2918.9	0.59635	0.11417000000000001	1	21.599	0.0	0.74544	2.5345	9.3926	1608.9	0.0	1.9381	0.14909	20.432000000000002	0.029713999999999997	617.63	1	64.79899999999999	0.056986
TCGA-4V-A9QS	THYM_1	4848.8	2335.3	1355.4	0	2124.2	3420.9	2300.8	6265.9	1201.9	0.05455499999999999	0.025098	8133.3	12953.0	84.884	25016.0	3095.3	0	0.195	443.8	254.65	3590.7	1212.8	201.55	1549.6	8137.2	485.87	13680.0	693.02	6127.1	740.31	7209.3	4042.2	5.814	15.116	6.9767	24.805999999999997	6679.5	1818.6	87.59700000000001	0.024152	0.028402999999999998	298.84	0.063565	0.026708	2764.7	1940.7	1043.8	70.155	4929.5	0.078	2448.1	2698.1	0.021044	0	15443.0	0.040001999999999996	1.8242	159.3	8123.3	0.039152	0.042749	2615.5	3607.3	0	5.0388	3286.8	424.03	0.065675	172.09	0.035976999999999995	3829.1	390.67	0.23343000000000003	1867.0	0.037187	3142.2	37.209	0.016361	0.3876	0.014422999999999998	804.26	0.041931	14.729000000000001	889.15	4896.5	0.0	0.21895	1	78.295	0.0	0.097498	1.365	0.195	5139.9	0.0	0.0	0.0	104.26	0.02267	1480.2	1	79.845	0.06368
TCGA-4V-A9QT	THYM_1	7978.9	3313.6	2513.8	0	3072.5	7883.8	4022.9	437.79	2231.1	0.057736	0.022286	14351.0	24983.0	65.705	36663.0	3793.4	0	0.0	625.47	114.35	331.06	2581.4	286.41	2164.6	11894.0	1665.1	21207.0	430.53	10043.0	438.51	11018.0	6645.6	10.89	6.8972	0.726	0.0	13199.0	4573.9	21.781	0.026219	0.022701	46.465	0.050732	0.030016	3683.5	3930.7	1289.8	12.342	7945.2	0.052283	3807.6	5046.6	0.02478	0	28882.0	0.026287	10.93	45.013000000000005	19418.0	0.023892	0.047781	6790.4	6196.7	0	2.1781	5326.1	608.4	0.07345	254.47	0.037435	8477.4	464.65	0.32843	3091.8	0.045054000000000004	1433.9	10.164	0.015034	0.0	0.015525	1341.0	0.070857	8.7122	1917.0	9315.2	0.0	0.31685	0	141.21	0.0	0.23231999999999997	2.3232	0.0	7910.0	0.0	0.0	0.0	193.12	0.023035	1961.3	0	128.14	0.08126
TCGA-4V-A9QU	THYM_2	6782.7	3090.4	1693.9	0	3529.0	3717.5	2376.2	4.8053	1024.1	0.27449	0.17289000000000002	10349.0	18836.0	0.6007	39058.0	3722.9	0	33.013000000000005	392.24	1516.1	4180.0	1578.5	115.33	1519.7	7101.7	830.75	17276.0	1589.4	8840.0	14680.0	6061.9	4499.0	1.2013	3.6039999999999996	32.436	51.056999999999995	8926.5	2731.2	117.73	0.26839	0.23264	9.6107	0.1493	0.047644	2649.5	1128.0	967.07	221.65	6782.7	0.29472	3871.9	1513.1	0.22407	1	16765.0	0.12943	6.0631	254.68	11770.0	0.35533000000000003	0.10103	3834.1	4660.0	0	7.207999999999999	3685.1	385.63	0.24613000000000002	192.21	0.29369	6338.2	476.3	0.19672	3049.0	0.060008000000000006	598.26	4.8053	0.016713	362.8	0.022173	1160.5	0.24505	185.61	520.18	5206.0	118.51	0.27098	0	80.48899999999999	5.9253	166.76	969.43	954.19	5993.4	31.108	90.15	9.9461	179.6	0.16368	1320.9	0	103.92	0.07392699999999999
TCGA-4V-A9QW	THYM_2	7178.3	4233.5	1830.5	0	8293.7	7018.8	3798.5	222.85	1305.7	0.2653	0.15361	8187.1	20470.0	6.9052	30228.0	3269.9	0	25.726999999999997	295.67	322.66	2237.3	376.65	131.2	1195.9	4323.9	773.48	10700.0	1279.3	9531.1	11584.0	17104.0	3340.2	2.511	4.3942	18.205	17.577	4528.6	3548.0	272.44	0.22326	0.11558	27.621	0.16385	0.10612	2488.4	1525.4	895.79	131.83	5596.4	0.35152	1932.8	2411.2	0.18692	1	17048.0	0.11550999999999999	5.6658	215.94	9520.4	0.36608	0.10726	4538.0	6351.3	0	26.365	6069.1	262.4	0.26745	98.556	0.27449	9057.1	296.92	0.21006	4119.3	0.19362000000000001	350.91	0.0	0.29354	1059.6	0.31634	1168.2	0.266	150.66	797.87	8725.7	113.79	0.20913	0	84.118	4.4527	142.24	903.65	724.3	8766.5	22.758000000000003	72.232	6.678999999999999	126.18	0.1573	1151.3	0	123.67	0.070612
TCGA-4V-A9QX	THYM_2	7759.6	3140.2	1821.4	0	4409.6	4205.2	2881.2	0.6908	1112.6	0.32166999999999996	0.19558	12750.0	18931.0	0.0	42089.0	3706.0	0	39.71	411.05	1412.4	2784.8	1514.3	173.06	1962.0	6492.6	838.33	19412.0	1391.7	9554.4	13211.0	6877.4	4514.0	4.1451	2.0725	40.76	69.43	9702.9	2598.3	246.63	0.27209	0.15579	5.1813	0.20037	0.12972999999999998	2944.0	1834.5	1281.9	209.33	7077.4	0.36701	3632.5	2596.9	0.27154	0	19443.0	0.21056999999999998	8.5359	293.61	21093.0	0.37037	0.14493	4526.8	4386.9	0	6.2176	4418.6	324.35	0.28014	196.55	0.30728	5894.6	419.66	0.26026	2907.4	0.24413	673.58	4.8359	0.25448000000000004	52.504	0.25138	1000.0	0.26987	170.98	620.73	4814.9	90.895	0.20013	0	90.155	5.4356	115.36	764.76	884.64	5310.5	25.215	84.101	8.3044	74.957	0.21864	1326.8	0	112.95	0.08953
TCGA-4X-A9F9	THYM_1	7530.8	3771.2	2618.4	0	3061.8	8900.8	5397.5	2265.8	2026.1	0.063962	0.038544	11966.0	26017.0	152.06	29146.0	6006.5	0	0.16449	479.36	178.13	615.5	534.39	186.1	1797.2	6333.8	803.42	14592.0	498.19	11440.0	742.94	21204.0	4582.9	19.551	20.999000000000002	0.7241	1.4482	7738.6	4327.3	68.067	0.019272	0.031435000000000005	592.32	0.060423000000000004	0.030499000000000002	2675.6	2706.0	1603.2	45.619	7038.4	0.040432	2501.1	2887.0	0.026352999999999998	0	21700.0	0.03452	5.8099	76.756	20868.0	0.027377999999999996	0.042064	5509.8	5735.6	0	2.1723	4868.2	542.36	0.07446900000000001	165.82	0.043488	8586.5	449.67	0.30016	3736.4	0.036938	1331.6	10.862	0.014763	0.0	0.013822999999999998	1414.2	0.07932	39.102	1536.6	9960.9	0.0	0.24805	0	112.96	0.0	0.16449	1.1514	0.6579699999999999	7145.6	0.16449	0.0	0.0	138.31	0.021587000000000002	1382.3	0	77.48	0.14858
TCGA-4X-A9FA	THYM_3	1482.6	246.18	238.91	0	18174.0	494.93	607.76	194.89	94.027	0.43631000000000003	0.69757	3560.2	1859.2	2.137	1517.3	145.31	0	50.996	105.57	2865.3	4862.9	73.085	115.4	143.6	3075.5	141.32	980.87	2844.3	4811.6	16931.0	1674.5	719.31	1.7096	3.8466	82.06	53.852	227.38	288.49	645.79	0.21453000000000003	0.11578	23.934	0.16364	0.70055	692.81	332.94	168.82	491.93	470.56	0.66059	834.71	257.72	0.44206000000000006	1	292.34	0.6742100000000001	0.6329	400.9	181.64	0.66613	0.17811	83.34200000000001	606.9	0	10.258	891.55	20.515	0.57398	8.1205	0.47891999999999996	2758.8	27.781	0.025330000000000002	610.75	0.40213000000000004	4.7014	1.7096	0.014542	114.97	0.019641	33.764	0.66245	271.4	72.657	1147.1	107.77	0.054546000000000004	0	6.4109	7.6038	112.74	862.27	851.02	1114.7	26.563000000000002	104.83	8.719	3.4192	0.70627	512.02	-1	179.51	0.19964
TCGA-4X-A9FB	THYM_1	5991.3	2864.0	2248.8	0	1650.0	6125.3	3352.9	2486.5	2670.4	0.044844	0.032669	13538.0	22174.0	84.663	31860.0	5799.4	0	0.75825	705.41	743.23	291.81	1600.3	463.57	2420.5	7388.6	993.09	20176.0	907.36	9250.9	616.93	4343.2	6887.6	55.864	26.024	1.7349	5.5517	9344.2	3535.4	41.638000000000005	0.01721	0.024602000000000002	731.44	0.057852	0.036846	3907.4	4026.0	1159.3	35.391999999999996	9840.4	0.047108	3875.8	5210.3	0.02642	0	22098.0	0.029519	5.4245	94.37899999999999	20800.0	0.038568	0.040021	5711.7	4783.1	0	0.34700000000000003	4599.2	538.51	0.071332	122.14	0.037301	5941.4	618.57	0.22946999999999998	2415.0	0.043979000000000004	1245.7	7.9806	0.016788	0.34700000000000003	0.016215	1542.7	0.051144	40.944	2118.0	7513.2	0.75825	0.21971999999999997	0	137.75	0.0	1.5165	7.0138	17.25	6472.6	0.0	3.9808	0.0	128.38	0.023525	1656.8	0	149.9	0.081737
TCGA-4X-A9FC	THYM_2	6362.0	3462.5	2026.7	0	5216.4	4488.2	2979.3	21.9	1305.8	0.16625	0.11735999999999999	11743.0	19284.0	0.4563	37866.0	2678.7	0	27.014	535.19	1965.5	1965.1	1524.8	215.35	1920.8	7845.3	1031.6	21369.0	885.59	7736.3	4297.0	6175.9	5706.9	3.1938	2.7375	43.343999999999994	67.982	10433.0	2514.0	120.0	0.055510000000000004	0.17945	9.1251	0.11478	0.13656	3774.2	2628.5	1107.3	122.73	8219.9	0.24325	4103.1	3446.1	0.19167	1	20843.0	0.062859	5.8695	262.8	14152.0	0.25886	0.086549	5148.9	4866.4	0	7.3001	4196.6	503.71	0.23256999999999997	250.03	0.25582	6253.0	532.83	0.3357	2605.7	0.17574	544.77	3.1938	0.016618	134.6	0.015708	1440.4	0.23749	142.81	1066.3	6704.2	83.277	0.27328	0	131.86	3.9123	84.022	563.94	558.91	6010.7	13.227	68.745	5.4028	114.06	0.083258	1979.2	0	124.56	0.1456
TCGA-4X-A9FD	THYM_1	1953.9	1121.1	631.02	0	4530.4	1580.9	944.51	19880.0	668.69	0.035509	0.024572999999999998	4063.3	6110.4	115.71	10500.0	943.83	0	0.0	288.26	480.66	1292.6	506.56	434.24	602.09	6524.8	464.7	6630.4	1195.8	5306.1	598.05	3100.3	1896.4	56.173	23.209	3.7	1.3455	2105.6	837.21	77.027	0.0209	0.028564999999999997	1252.3	0.040658	0.1959	1351.5	1288.6	407.67	27.918000000000003	2773.7	0.026876	1221.0	1422.1	0.025612	0	4267.4	0.02251	2.3785	68.954	3315.9	0.017929	0.044868	1196.4	2354.5	0	0.0	1589.0	180.63	0.063226	45.745	0.040534	2040.4	183.32	0.06804600000000001	829.47	0.033066000000000005	3575.9	68.618	0.015984	2.6909	0.026075	988.57	0.038663	47.763999999999996	651.87	2271.1	0.0	0.14439000000000002	0	23.545	0.0	0.0	1.3780000000000001	0.22966999999999999	2132.9	0.0	0.0	0.0	47.091	0.023728	900.44	1	54.49100000000001	0.1267
TCGA-5G-A9ZZ	THYM_4	1874.6	654.14	320.07	0	3465.7	464.56	604.61	15.370999999999999	310.85	0.039401	0.033274	6060.8	1541.2	4.7822	1633.5	173.53	0	0.15994	218.96	2190.9	4365.5	117.85	10.589	342.95	4736.8	189.33	676.0	923.65	3746.9	2057.7	2358.0	1641.7	105.89	427.33	21.52	0.6832	317.34	336.81	51.58	0.021751	0.028111	328.95	0.07069099999999999	0.02781	570.11	943.47	327.24	60.803000000000004	1653.3	0.019022999999999998	585.82	184.12	0.037495999999999995	0	169.09	0.029281	1.7947	213.83	294.11	0.038768000000000004	0.031843	54.996	941.42	0	2.0495	713.92	22.545	0.083696	1.0248	0.0447	678.05	14.687999999999999	0.029227999999999997	440.65	0.045112	36.208	14.347000000000001	0.013636	6948.2	0.016577	17.762999999999998	0.040461000000000004	9.2229	175.92	1494.5	0.15994	0.12641	-1	3.7575	0.0	0.15994	0.9596600000000001	1.4395	1039.8	0.15994	0.31989	0.0	2.3911	0.027860000000000003	645.6	1	20.837	0.075864
TCGA-5K-AAAP	THYM_2	3252.2	1828.4	760.79	0	18203.0	2252.6	1192.2	996.16	628.48	0.2983	0.44058	9017.3	6332.2	1.9175	11908.0	2009.6	0	34.361999999999995	261.27	1886.9	2945.8	553.69	100.67	430.49	3931.0	429.56	5048.9	1508.6	5413.2	6339.9	1698.5	1621.8	3.3557	3.3557	44.103	185.04	1845.6	1133.3	323.59	0.26155	0.40365999999999996	11.026	0.11903	0.25161999999999995	1320.2	809.68	397.89	383.03	2985.1	0.48263999999999996	1617.0	1327.4	0.48865	1	7192.2	0.28801	5.0121	445.83	5041.2	0.5733600000000001	0.06340900000000001	1793.4	2145.2	0	40.748000000000005	1790.5	82.454	0.41722	109.78	0.44292	3333.7	125.6	0.12645	1256.5	0.43091999999999997	77.181	0.9588	0.13651	791.47	0.18912	465.0	0.46942	261.27	369.61	3373.9	160.24	0.12445999999999999	0	28.763	12.972999999999999	235.97	574.68	1195.7	5096.4	23.843000000000004	161.99	8.7658	42.665	0.39093	814.48	0	136.15	0.066506
TCGA-5U-AB0D	THYM_4	588.22	3755.6	179.71	0	4481.7	508.35	361.09	0.0	111.49	0.30369	0.040204000000000004	763.77	961.79	173.06	980.09	20.8	1	0.19885999999999998	209.66	1139.8	5544.4	20.8	2.496	67.392	2006.0	219.98	136.45	1146.5	2151.6	1817.1	2163.2	255.42	108.99	328.64	4.16	0.0	78.208	202.18	278.72	0.01654	0.01832	807.04	0.037375	0.028881999999999998	583.23	188.03	211.33	176.38	444.29	0.013421	108.16	39.936	0.021445	0	0.0	0.032061	1.479	792.06	1.6640000000000001	0.037099	0.022036	96.512	530.82	0	12.48	880.25	0.8320000000000001	0.06813	76.544	0.042138999999999996	911.87	17.472	0.020065	346.11	0.043164	48.256	20.8	0.013268	3853.0	0.014727	9.152000000000001	0.039699	16.64	82.368	974.27	0.0	0.051878	-1	2.496	0.0	0.5965699999999999	1.7897	2.3863	580.74	0.19885999999999998	0.0	0.0	0.8320000000000001	0.024387	445.95	1	42.431999999999995	0.057205
TCGA-5U-AB0E	THYM_1	3693.6	2053.4	828.93	0	3545.7	2294.6	2041.3	5684.0	420.5	0.046167	0.023901	3046.0	8196.2	629.88	8519.8	1154.6	0	0.2856	207.66	326.57	222.31	306.75	137.44	533.38	5448.4	326.93	4426.0	575.17	7011.4	1411.4	4525.5	1914.6	115.46	19.387999999999998	0.4308	59.455	1749.6	1046.9	130.11	0.02351	0.024092	1418.7	0.05574400000000001	0.028813	1405.0	934.48	557.93	50.839	1970.6	0.021151	809.11	915.1	0.024068	0	5150.2	0.02658	1.7342	107.71	4535.0	0.037633	0.054075	683.74	2224.8	0	0.4308	2250.3	212.4	0.057382	91.76799999999999	0.078445	4262.7	112.45	0.096134	1836.7	0.086005	3584.1	19.387999999999998	0.015638	0.4308	0.016719	358.02	0.054111	41.36	290.81	3903.4	0.4284	0.18120999999999998	0	24.988000000000003	0.1428	0.4284	1.1424	1.9992	2990.4	0.0	0.1428	0.0	62.902	0.018484	834.96	0	89.61399999999999	0.051987
TCGA-5U-AB0F	THYM_1	4690.1	3218.9	1285.8	0	7268.1	5050.6	2443.8	3188.8	1289.3	0.098485	0.081594	15258.0	16028.0	3.4335	25059.0	2070.4	0	0.0	145.06	270.39	2328.8	198.28	117.6	272.1	3782.0	447.07	6588.0	666.95	4959.7	2811.2	9739.9	3563.9	8.5837	4.2918	0.0	0.0	2204.3	1506.4	190.56	0.20223	0.13505	70.38600000000001	0.057659	0.095166	2188.8	1183.7	736.48	38.626999999999995	3253.2	0.17124	1281.5	2233.5	0.21006	1	8960.5	0.028391000000000003	2.0053	121.89	4176.0	0.41597	0.13802999999999999	1917.6	3797.4	0	23.176	4883.3	242.06	0.32154	136.48	0.34944000000000003	5343.4	123.61	0.14299	2004.3	0.041933	454.08	0.0	0.013521	18.026	0.021305	811.16	0.34229	94.421	493.56	4969.1	0.42767	0.15700999999999998	0	38.626999999999995	0.0	0.28511	0.7127899999999999	1.5681	4431.8	0.0	0.14256	0.0	207.72	0.051361000000000004	888.41	0	121.03	0.11932999999999999
TCGA-5V-A9RR	THYM_3	2719.3	1375.7	534.47	0	14837.0	1289.4	1035.4	99.148	315.52	0.27283	0.45333999999999997	5712.9	7157.8	6.7131	9969.0	356.31	0	80.66199999999999	167.31	1366.9	3290.0	144.07	102.25	376.97	2893.9	302.26	3808.4	2256.7	8043.9	32617.0	2918.7	1801.2	4.1312	1.5492	42.343999999999994	100.18	1121.6	627.42	265.43	0.28781	0.29288000000000003	19.107	0.26887	0.12993	880.45	411.05	295.38	271.11	2004.7	0.55885	1426.3	607.8	0.54104	1	3296.2	0.26557	1.8882	474.57	2057.3	0.56739	0.15237	528.79	1822.0	0	40.795	2332.0	137.36	0.44511000000000006	202.43	0.47347	4192.1	100.7	0.09725	2156.5	0.47228000000000003	131.16	3.0984	0.48263	385.23	0.45021000000000005	530.86	0.56215	432.22	170.41	2242.2	237.36	0.085084	0	18.074	10.557	252.19	2158.0	1824.4	3088.6	72.596	257.17	18.268	48.025	0.43159	639.81	0	174.03	0.18123
TCGA-X7-A8D6	THYM_2	5193.8	2289.0	2362.9	0	3686.5	4922.6	2886.5	15.725	1850.4	0.12395	0.059234	15242.0	14793.0	1.7	32725.0	3847.0	0	16.059	773.48	1468.8	2214.2	2543.1	513.81	3310.7	6324.7	1287.3	21228.0	745.43	7231.6	2735.2	4153.0	8013.6	2.1249	4.2499	45.049	64.598	12181.0	2945.2	102.0	0.08329500000000001	0.059597000000000004	11.475	0.10117999999999999	0.040307	4078.2	3779.9	1091.4	115.17	8052.7	0.25982	6580.1	4454.7	0.10101	1	26086.0	0.068895	11.27	193.37	13815.0	0.14085999999999999	0.098621	7173.0	6033.9	0	8.4998	4220.6	737.78	0.18267	307.69	0.13940999999999998	6115.6	646.48	0.31227	2511.7	0.07938300000000001	1195.1	2.5499	0.014669999999999999	92.223	0.024648	1689.8	0.19007000000000002	107.95	2410.1	7657.0	50.236999999999995	0.28747	0	145.77	4.3236	58.06	511.43	370.19	5671.9	8.8532	40.148	2.0589	131.75	0.082246	2120.7	0	203.15	0.091088
TCGA-X7-A8D7	THYM_1	7386.6	3919.0	2145.1	0	3495.4	7195.7	3960.3	954.21	2102.1	0.069521	0.035371	17639.0	24542.0	64.01899999999999	35782.0	5782.4	0	0.0	695.71	301.05	665.72	1545.8	474.07	2912.9	9244.3	1114.6	22505.0	521.88	12423.0	239.87	10730.0	7291.7	24.715999999999998	38.898	29.579	0.4052	11878.0	5008.9	32.82	0.022486000000000003	0.025335	209.48	0.05222	0.031168	4678.3	4155.6	1305.9	12.561	9847.6	0.11599000000000001	4354.9	4717.2	0.019967	0	15535.0	0.021328	6.1248	64.01899999999999	16852.0	0.034437999999999996	0.070842	5328.2	6834.4	0	0.0	5243.9	654.38	0.074215	272.29	0.047382	9064.4	415.24	0.26241	3650.3	0.05318	1853.3	11.345	0.017234	0.0	0.014332	1436.8	0.060263	51.458999999999996	2187.2	8550.2	0.17812	0.23533	0	138.17	0.0	0.0	1.425	1.9594	7745.9	0.17812	0.35625	0.0	138.98	0.024655	1568.5	1	146.27	0.094398
TCGA-X7-A8D8	THYM_3	1917.4	682.12	420.33	0	12384.0	976.24	789.64	0.7791	220.88	0.59924	0.50731	3061.2	3737.4	1.1687	6891.7	608.88	0	66.835	200.62	4169.5	8215.8	347.1	268.41	499.81	3593.3	291.94	3806.8	2221.7	4031.9	13517.0	1477.6	1646.7	1.1687	5.0643	133.23	156.6	1194.8	510.32	350.6	0.41453	0.30833	40.904	0.23346999999999998	0.47203999999999996	1433.6	770.55	258.28	414.1	1628.0	0.61907	1586.7	770.16	0.52157	1	2972.7	0.5703199999999999	2.1938	463.58	2506.4	0.64594	0.13953	900.66	1515.8	1	14.802999999999999	1180.0	79.86	0.51627	44.41	0.5556800000000001	4051.8	83.366	0.10787999999999999	881.57	0.43983	54.148999999999994	2.3374	0.5018699999999999	1096.6	0.49968999999999997	275.03	0.56142	358.0	372.81	1858.6	127.77	0.11112000000000001	0	19.477999999999998	8.6001	203.45	1155.6	1035.9	1873.8	33.418	148.29	8.9687	20.257	0.50216	714.45	0	209.97	0.11312
TCGA-X7-A8D9	THYM_2	3437.8	1718.2	1007.1	0	11209.0	2371.4	1472.7	4.0057	582.55	0.2206	0.34989000000000003	6055.5	8091.6	0.0	16187.0	1546.8	0	21.239	331.62	4779.1	3643.2	718.46	152.22	1011.4	5438.9	554.61	8492.7	2874.7	6127.3	9066.1	1079.8	2945.3	5.1502	5.1502	81.831	89.27	3298.1	997.71	144.78	0.31013	0.36646999999999996	19.456	0.23853000000000002	0.18074	2386.6	1600.0	504.15	344.78	4055.2	0.46275	2630.0	2006.0	0.41766000000000003	1	8820.6	0.13227	4.4362	523.32	6281.3	0.48408	0.075811	2132.8	3679.3	0	15.165	2502.2	212.02	0.40613	188.84	0.46047	4073.8	223.7	0.19635	1632.0	0.34162	256.94	5.1502	0.27926999999999996	87.84	0.31231	779.4	0.45056	217.17	857.8	4374.8	75.28699999999999	0.17384000000000002	0	54.363	5.1803	110.51	862.0	510.78	3253.2	22.275	68.898	4.6623	53.218999999999994	0.29301	1247.2	0	196.85	0.095586
