THCA	Labels	N:GEXP::FN1:2335:	B:MUTA:COMP:BRAF::	B:MUTA:nons:BRAF::	B:MUTA:HOTS:BRAF:pV600:	N:GEXP::CLDN1:9076:	N:GEXP::NQO1:1728:	B:MUTA:HOTS:NRAS:pQ61:	N:GEXP::IGF1R:3480:	N:GEXP::C17orf28:283987:	B:MUTA:nons:NRAS::	B:MUTA:COMP:NRAS::	N:MIR::hsa-miR-3074-5p:Corrected:	N:GEXP::PRR15:222171:	N:GEXP::PDK4:5166:	N:GEXP::PROS1:5627:	N:GEXP::RET:5979:	N:GEXP::TMEM116:89894:	N:MIR::hsa-miR-21-5p:Corrected:	B:MUTA:COMP:HRAS::	N:GEXP::TACSTD2:4070:	N:GEXP::ETV5:2119:	N:MIR::hsa-miR-96-5p:Corrected:	N:GEXP::RPS6KA2:6196:	N:GEXP::MDFIC:29969:	N:GEXP::ATRNL1:26033:	B:MUTA:nons:HRAS::	N:GEXP::STON2:85439:	N:GEXP::TMEM215:401498:	N:GEXP::PLEKHA6:22874:	N:GEXP::PTPRE:5791:	N:GEXP::RUNX2:860:	N:GEXP::TMPRSS6:164656:	N:GEXP::CLCN2:1181:	N:MIR::hsa-miR-125b-1-3p:Corrected:	B:MUTA:HOTS:HRAS:pQ61:	N:GEXP::C15orf23:90417:	N:GEXP::PDLIM4:8572:	N:GEXP::HGD:3081:	N:GEXP::B3GAT1:27087:	N:GEXP::AGPAT5:55326:	N:MIR::hsa-miR-195-5p:Corrected:	N:GEXP::ENTPD1:953:	N:GEXP::MTRF1:9617:	N:GEXP::PLCH2:9651:	N:MIR::hsa-miR-6715a-3p:Corrected:	N:GEXP::AHNAK:79026:	N:METH:cg07809452:FGFRL1:TssD873:Island	N:GEXP::ETV6:2120:	N:GEXP::SLIT1:6585:	N:GEXP::EPHA1:2041:	N:GEXP::PVRL4:81607:	N:GEXP::RBPJ:3516:	N:GEXP::LRRK2:120892:	N:MIR::hsa-miR-7704:Corrected:	N:GEXP::LOC389332:389332:	N:GEXP::KLHDC8A:55220:	N:GEXP::FAM176A:84141:	N:GEXP::DUSP2:1844:	N:METH:cg25339408:AC016700.5:TssD987:Island	N:GEXP::NSUN5P2:260294:	N:GEXP::POLG2:11232:	N:METH:cg01037890:PHYHIPL:TssD29:Island	N:GEXP::HDHD2:84064:	N:GEXP::RPS6KL1:83694:	N:MIR::hsa-miR-92b-5p:Corrected:	N:METH:cg15816267:HLA-E:TssD758:Island	N:GEXP::CRYL1:51084:	N:MIR::hsa-miR-335-5p:Corrected:	N:MIR::hsa-miR-485-5p:Corrected:	N:GEXP::HSF4:3299:	N:METH:cg02604675:HELT:TssU1194:Shore	N:METH:cg04655365:SERF2:TssD468:Shore	N:METH:cg27015057:SPRY4:TssD37:Island	N:GEXP::NSUN5P1:155400:	I:CNVR::CRELD2:79174:	N:GEXP::KCNAB1:7881:	N:GEXP::LLGL1:3996:	N:METH:cg11203377:MDK:TssU256:Island	N:GEXP::C15orf43:145645:	N:METH:cg00860370:RP11-153F1.1:TssU15:Island	N:METH:cg06161720:SNX6:TssU81:Island	N:GEXP::FAM153B:202134:	N:GEXP::C1orf130:400746:	N:GEXP::LOC150197:150197:	N:GEXP::KCNV1:27012:	N:GEXP::PDIA5:10954:	N:GEXP::GABRB3:2562:	I:CNVR::SPECC1:92521:	N:GEXP::TRIP12:9320:	N:GEXP::ZP4:57829:	N:METH:cg18695917:FSTL5:TssU154:NA	I:CNVR::KMT2C:58508:	N:METH:cg19557422:BTBD10:TssD658:Shore	N:METH:cg27243389:ALOX5:TssD26:Island	N:METH:cg04028010:BCR:TssD76:Shore	N:METH:cg07307975:CTD-2589M5.5:TssD684:Island
TCGA-BJ-A0ZG	THCA_2	5215.4	0	0	0	196.79	766.54	0	2932.0	744.72	0	0	13.58	18.588	2050.3	577.02	11.718	222.65	37179.0	0	55.358999999999995	576.22	19.382	3164.7	1181.5	10.102	0	377.0	2.0204	136.17	167.29	34.751	5.6571	137.39	5.6695	0	241.64	123.65	1079.7	257.4	521.67	85.965	1602.5	105.87	139.81	13.185	12059.0	0.51557	769.77	11.718	399.63	10.91	625.51	97.383	0.39555	0.4041	14.950999999999999	40.408	34.751	0.4	376.17	100.21	0.055994	1332.2	193.55	0.0	0.14570999999999998	1299.9	25.315	0.0	175.81	0.14292	0.18208	0.14553	133.75	0	1240.1	655.82	0.20884	2.0204	0.14148	0.14046	8.0816	437.21	37.175	21.82	1114.0	771.79	0	3039.5	0.0	0.09830900000000001	0	0.35652	0.040383999999999996	0.048031	0.08063
TCGA-BJ-A0ZH	THCA_1	433320.0	1	1	1	14126.0	1104.2	0	2575.4	469.17	0	0	3.0207	2066.6	1348.2	9536.1	12.41	153.06	175560.0	0	23154.0	1951.8	17.236	4762.7	1879.8	4.4814	0	432.29	308.87	547.42	2041.8	226.14	1429.6	83.42299999999999	7.9961	0	966.26	4308.0	20.339000000000002	636.36	334.73	39.092	3999.2	68.255	238.55	0.5330699999999999	11457.0	0.08708099999999999	739.43	276.47	240.96	882.15	683.93	2160.4	4.0869	2.0683	445.04	327.49	112.03	0.066066	484.82	85.492	0.054079999999999996	1094.2	42.746	0.0	0.084993	1127.6	21.678	0.0	86.24	0.070005	0.064463	0.022886	142.37	-1	148.23	979.02	0.079901	0.0	0.020991	0.18349000000000001	0.0	478.13	11.030999999999999	24.82	370.58	163.4	0	2234.5	0.0	0.18045999999999998	0	0.051118000000000004	0.027232999999999997	0.077016	0.067538
TCGA-BJ-A0ZJ	THCA_2	40463.0	0	0	0	3395.8	2544.8	0	1845.0	659.45	0	0	3.5971	2171.6	1471.3	2467.9	966.45	174.95	107430.0	0	5793.6	1469.6	4.3165	4395.3	1553.3	9.3418	0	486.2	906.58	253.08	607.64	414.44	276.43	95.541	2.8776	0	254.35	1461.2	319.75	575.8	472.61	55.395	3446.3	104.03	274.74	2.8776	15063.0	0.025693	1040.3	972.39	383.01	419.96	601.7	3337.2	2.8776	0.8493	617.41	87.47399999999999	317.62	0.044742000000000004	342.53	126.96	0.050234	1083.2	55.626000000000005	0.71941	0.066686	918.47	27.338	0.0	84.781	0.10955	0.062266999999999996	0.027099	137.58	0	1169.4	1107.9	0.048511	0.0	0.012276	0.1017	6.7941	324.42	26.326999999999998	9.7665	1047.1	173.67	0	2591.5	0.0	0.0613	0	0.071878	0.019287000000000002	0.05177999999999999	0.056282000000000006
TCGA-BJ-A18Y	THCA_3	8377.9	0	0	0	6657.7	9929.6	0	2610.4	965.16	0	0	11.975999999999999	2471.8	5455.5	714.12	7.1942	219.24	50677.0	1	163.95	2496.8	18.027	5923.9	903.07	59.446999999999996	1	299.89	1378.3	121.55	310.87	79.515	5.301	90.117	3.1515	1	687.24	373.72	851.95	788.34	967.44	37.314	6013.6	81.78699999999999	259.75	26.725	11252.0	0.084	868.61	2890.2	165.85	287.77	543.73	12821.0	2.017	17.418	1534.7	18.175	12.495	0.1065	374.54	125.33	0.063347	1554.0	54.146	0.12605999999999998	0.18786	1299.5	18.783	0.0	221.09	0.092814	0.1056	0.030032999999999997	142.75	-1	2160.2	498.68	0.14987	0.0	0.035872	0.12354000000000001	9.0875	890.19	34.457	28.02	1070.4	1015.5	0	2710.3	0.0	0.041404	0	0.12861	0.027160000000000004	0.07496799999999999	0.068731
TCGA-BJ-A18Z	THCA_1	819600.0	1	1	1	18248.0	2379.1	0	3485.3	366.99	0	0	2.056	3156.4	2149.4	6954.4	203.12	113.1	300100.0	0	10969.0	2650.3	7.4898	5043.3	2205.4	6.9244	0	331.8	526.25	489.32	1937.7	713.79	1822.3	69.821	9.5458	0	516.45	3990.2	51.356	579.34	456.43	27.903000000000002	4088.8	58.858000000000004	151.76	0.29372	23189.0	0.025713	1245.8	2365.8	282.75	1081.9	731.68	6150.0	3.2309	1.1541	1154.1	462.2	60.589	0.22473	329.05	105.6	0.078807	969.42	17.887999999999998	0.14686	0.12646	795.15	14.686	1.028	146.49	0.11835999999999999	0.052796	0.029024	135.6	0	203.12	1429.3	0.072935	0.0	0.02242	0.13489	2.8852	581.07	20.195999999999998	31.737	530.87	34.045	0	2960.8	0.0	0.08755	0	0.081224	0.027252999999999996	0.079235	0.065988
TCGA-BJ-A190	THCA_2	3799.1	0	0	0	18.007	3336.8	0	1990.4	212.98	0	0	50.788999999999994	7.4511	2138.8	189.69	1.2419	296.18	40407.0	0	27.01	116.73	20.927	2296.5	1591.1	3.1046	0	520.02	3.4151	12.729000000000001	71.096	19.559	0.3105	78.547	4.2834	0	389.63	25.148000000000003	879.85	216.39	607.89	82.853	995.34	170.44	938.53	1.7134	8502.0	0.06453300000000001	770.57	11.798	543.31	4.0360000000000005	420.06	98.727	0.24477	1.5523	86.93	28.873	32.909	0.19115	541.35	143.74	0.078307	1750.7	123.88	0.8566799999999999	0.25105	710.03	40.019	0.0	194.74	0.059436	0.1314	0.039919	231.29	-1	293.7	445.2	0.10709	0.6209	0.019925	0.11940999999999999	0.3105	5.2779	91.897	2.1732	531.82	327.23	0	2559.1	0.0	0.046105	1	0.35916	0.034132	0.054360000000000006	0.080041
TCGA-BJ-A191	THCA_2	19679.0	0	0	0	1814.5	621.1	0	4432.9	916.87	0	0	9.078	1094.7	1396.5	312.15	1.5987	173.46	89372.0	0	1152.7	1369.7	19.948	6191.4	1165.9	17.586	0	507.19	0.0	18.385	548.76	43.965	117.11	151.08	7.6446	0	148.68	227.02	132.29	763.39	734.61	6.9279	4075.1	121.5	519.98	0.23889000000000002	9344.9	0.029658999999999998	1085.9	81.535	376.5	121.9	386.89	323.74	0.71668	5.9952	378.5	17.986	30.375999999999998	0.057475	774.91	189.05	0.055652	862.51	15.588	0.8361299999999999	0.076807	549.16	33.803000000000004	0.0	82.454	0.16910999999999998	0.046849	0.028929000000000003	227.02	0	103.92	688.65	0.060337	0.0	0.017766999999999998	0.06854199999999999	31.175	257.39	29.177	0.0	229.02	51.958	0	1962.4	0.0	0.14625	0	0.080089	0.02423	0.028941	0.40152
TCGA-BJ-A192	THCA_2	10244.0	0	0	0	1959.9	118420.0	0	1340.7	769.68	0	0	4.218	15.82	2646.1	536.06	6.9904	532.38	75382.0	0	35.32	1807.2	32.628	3189.8	1484.5	1.1038	0	838.12	34.216	14.717	139.07	26.49	1.8396	108.9	2.7293	0	1125.5	157.47	3302.1	352.83	467.25	29.526	855.04	110.74	30.169	19.105	11155.0	0.046099	796.54	635.24	286.98	658.21	460.63	2811.3	1.3647	0.3679	1268.6	51.876000000000005	5.5188	0.41623000000000004	257.45	109.27	0.079579	1253.5	137.97	0.12405999999999999	0.12164000000000001	794.7	18.857	0.0	353.99	0.20586	0.11868	0.030541000000000002	108.54	0	22.443	412.8	0.24420999999999998	0.0	0.017273	0.07713099999999999	0.3679	340.32	80.574	15.82	704.19	20.235	0	1765.3	0.0	0.15083	1	0.23997	0.022134	0.13341	0.05337000000000001
TCGA-BJ-A28R	THCA_1	398880.0	1	1	1	13708.0	796.8	0	3937.8	415.27	0	0	2.8591	1680.6	5749.6	9369.6	16.743	139.78	213370.0	0	1663.4	1503.0	7.8625	7579.1	2830.5	5.3272	0	271.94	142.06	187.22	2584.0	357.43	1207.3	91.83200000000001	6.9095	0	373.41	4671.5	33.232	827.5	367.33	31.688000000000002	7441.1	84.729	44.14	0.0	15571.0	0.016869	760.27	12.177	379.5	955.1	578.89	3291.7	9.7686	0.2537	664.89	548.96	56.57	0.11402999999999999	287.64	116.19	0.39766	958.65	19.533	0.71478	0.13595	1018.0	11.913	0.0	63.597	0.10142999999999999	0.064359	0.020291999999999998	141.3	0	151.95	1269.7	0.10403	0.0	0.015792	0.09379	3.2978	428.21	11.415	25.114	420.35	12.177	0	2993.4	0.0	0.1006	0	0.065326	0.017599	0.35543	0.05685
TCGA-BJ-A28S	THCA_1	7056.1	0	0	0	5089.1	2327.0	0	3745.2	655.22	0	0	8.904	660.0	8020.4	961.3	3.0435	218.7	37989.0	0	256.52	2063.0	8.904	5023.9	641.74	143.04	0	73.913	669.13	59.13	430.44	75.217	3.9130000000000003	88.696	6.572	0	623.04	24.348000000000003	347.83	380.87	807.39	28.62	3573.9	73.043	14.783	7.207999999999999	6691.3	0.65998	882.17	7050.8	149.56	132.61	475.22	16793.0	5.3	19.13	1095.7	11.304	3.4783	0.06253	540.2	126.52	0.068548	1282.6	36.955999999999996	0.424	0.39473	640.0	19.504	0.0	551.66	0.096708	0.08744500000000001	0.020648	200.87	0	9133.5	443.04	0.12502	0.0	0.32595	0.23405	11.739	810.0	51.303999999999995	10.0	833.91	1136.5	0	2223.9	0.0	0.084392	0	0.061876	0.13608	0.048161	0.050773
TCGA-BJ-A28T	THCA_2	98640.0	0	0	0	2215.2	970.16	0	1908.0	756.88	0	0	8.2091	388.06	2062.0	1588.5	43.888000000000005	180.94	151740.0	0	1566.1	737.63	4.7886	3010.6	1431.4	7.6997	0	532.05	13.86	358.04	819.25	266.41	123.97	96.24600000000001	7.3882	0	222.52	571.32	888.55	99.32600000000001	440.42	97.68799999999999	2537.1	97.786	120.89	0.68409	20674.0	0.041477	1204.2	30.029	304.14	125.5	951.68	1248.1	2.8732	0.0	140.13	92.397	368.82	0.13479000000000002	217.1	108.57	0.046659	1058.7	33.109	0.27364	0.072502	615.98	18.607	0.27364	64.26899999999999	0.09594	0.12655	0.059387	89.31700000000001	0	690.66	602.89	0.094458	0.77	0.024086	0.099892	4.6198	276.42	23.099	7.6997	999.42	483.54	0	3728.2	0.0	0.074035	0	0.10101	0.024113	0.07877	0.13249
TCGA-BJ-A28V	THCA_2	4575.8	0	0	0	88.175	586.46	0	3293.5	694.68	0	0	13.640999999999998	6.0431	5458.0	456.53	2.1975	370.0	42889.0	0	58.783	1052.0	12.85	2546.3	1034.5	13.46	0	763.63	4.1203	37.083	61.805	16.207	0.2747	231.29	5.9307	0	503.5	4.6697	1801.7	191.18	381.54	27.676	1247.4	86.25200000000001	2091.2	7.1168	11254.0	0.074906	599.92	47.246	610.63	139.82	427.96	391.43	2.9653	0.5494	1.9228	6.5925	0.2747	0.11322	289.11	118.39	0.052961	1285.8	57.958999999999996	0.39538	0.51259	858.12	21.746	0.0	184.02	0.44997	0.3465	0.6974600000000001	92.844	0	3246.3	729.85	0.2451	0.0	0.015578999999999999	0.076547	0.0	521.36	53.015	10.163	866.91	760.06	0	2537.3	0.0	0.057086000000000005	0	0.072673	0.22445	0.10752	0.39896
