SKCM	Labels	N:GEXP::TIMP1:7076:	B:MUTA:COMP:BRAF::	B:MUTA:nons:BRAF::	B:MUTA:HOTS:BRAF:pV600:	B:MUTA:HOTS:NRAS:pQ61:	B:MUTA:nons:NF1::	N:METH:cg08195943:TRH:TssD955:Island	B:MUTA:nons:NRAS::	B:MUTA:COMP:NF1::	B:MUTA:COMP:NRAS::	B:MUTA:COMP:SPTA1::	B:MUTA:nons:SPTA1::	N:GEXP::TFAP2A:7020:	N:GEXP::ETV1:2115:	N:GEXP::TIMP2:7077:	N:GEXP::SPRY2:10253:	N:GEXP::KIT:3815:	N:GEXP::NF1:4763:	B:MUTA:COMP:APOB::	B:MUTA:LOF:NF1::	B:MUTA:COMP:SETD2::	N:GEXP::DTX4:23220:	B:MUTA:nons:SETD2::	N:MIR::hsa-miR-4746-5p:Corrected:	N:METH:cg10205753:RGS20:TssD66:Island	N:MIR::hsa-miR-125b-1-3p:Corrected:	N:MIR::hsa-miR-942-5p:Corrected:	N:GEXP::NUMA1:4926:	N:GEXP::CALU:813:	N:GEXP::LMNA:4000:	N:METH:cg01522826:LRRIQ1:TssD4:NA	N:GEXP::PLXNA1:5361:	N:MIR::hsa-miR-153-5p:Corrected:	N:MIR::hsa-miR-1:Corrected:	N:GEXP::CSDE1:7812:	N:GEXP::EGR1:1958:	B:MUTA:nons:KEL::	B:MUTA:LOF:FOXA1::	N:GEXP::TF:7018:	N:GEXP::NUDT19:390916:	N:GEXP::SNX19:399979:	N:MIR::hsa-miR-615-3p:Corrected:	N:MIR::hsa-miR-212-3p:Corrected:	B:MUTA:HOTS:BRAF:pK601:	B:MUTA:COMP:KEL::	N:METH:cg22376940:MPZL3:TssD24:NA	B:MUTA:LOF:UNCX::	N:GEXP::CASC2:255082:	N:MIR::hsa-miR-16-2-3p:Corrected:	N:GEXP::ALDH1A3:220:	N:GEXP::BMPER:168667:	N:METH:cg19430897:HIST1H2AB:TssU348:Shore	N:GEXP::ART5:116969:	I:CNVR::PARP12:64761:	N:MIR::hsa-miR-671-5p:Corrected:	N:MIR::hsa-miR-382-5p:Corrected:	N:GEXP::GSPT2:23708:	N:METH:cg06078334:GABBR1:TssD163:Island	N:GEXP::LOC401431:401431:	N:MIR::hsa-miR-431-3p:Corrected:	B:MUTA:nons:MAP2K1::	B:MUTA:COMP:MAP2K1::	N:METH:cg19190714:GMPR:TssD129:Island	N:GEXP::H19:283120:	N:MIR::hsa-miR-671-3p:Corrected:	N:MIR::hsa-miR-33a-5p:Corrected:	N:METH:cg02569458:RASSF9:TssD256:NA	B:MUTA:HOTS:NRAS:pG13:	N:GEXP::HSPA8:3312:	N:GEXP::PYROXD2:84795:	N:METH:cg04829853:HAPLN3:TssD537:Island	N:GEXP::SPTBN1:6711:	N:METH:cg15700487:GOLPH3L:TssU138:NA	I:CNVR::FRMD3:257019:	I:CNVR::NFASC:23114:	I:CNVR::FUCA1:2517:	B:MUTA:HOTS:NRAS:pG12:	N:METH:cg26789869:BASP1:TssD1350:Shore	N:METH:cg20072442:LRRTM1:TssD1145:Island	N:METH:cg14263942:CDKL2:TssU61:Island	N:MIR::hsa-miR-337-3p:Corrected:	N:MIR::hsa-miR-1249:Corrected:	N:GEXP::BAGE:574:	N:METH:cg06626655:RSPO1:TssD373:Island	I:CNVR::DAAM1:23002:	I:CNVR::ZNF493:284443:	I:CNVR::ATAD5:79915:	I:CNVR::GRAMD1B:57476:	I:CNVR::MIR4533:100616362:	I:CNVR::PRKCE:5581:	I:CNVR::ABHD15:116236:	I:CNVR::FLJ46257:400932:	I:CNVR::MIR490:574443:	I:CNVR::ARHGEF19:128272:	I:CNVR::KPNA3:3839:	I:CNVR::BTBD6:90135:	N:GEXP::ZC3H13:23091:	N:GEXP::CFL1:1072:	N:MIR::hsa-miR-504-5p:Corrected:	N:METH:cg18791121:CYB5R2:TssU81:Island	N:METH:cg07057636:CYP1B1-AS1:TssD81:Island	N:METH:cg09290941:COCH:TssU36:Island	N:METH:cg15945016:HIST1H3A:TssU21:Island	N:METH:cg12991522:PPL:TssD405:Island
TCGA-BF-A3DN	SKCM_1	9286.5	1	1	1	0	0	0.7445	0	0	0	0	0	2433.6	4001.4	16881.0	9176.4	826.1	2509.6	0	0	0	769.84	0	4.2851	0.041216	9.4273	9.8558	5419.8	16472.0	27042.0	0.051276	8022.0	0.0	0.85703	10459.0	19089.0	0	0	1749.3	531.5	1841.5	29.996	53.56399999999999	0	0	0.42398	0	24.357	7.2847	12374.0	8.6988	0.10257999999999999	2.8996	1	3.8566	18.855	339.83	0.030299	93.124	8.5703	1	1	0.024721	496.7	21.426	2.5711	0.097624	0	42651.0	762.6	0.015888	29458.0	0.052144	-1	1	-1	0	0.066061	0.37313	0.047878	14.998	5.9992	0.2262	0.064229	-1	-1	-1	-1	1	0	-1	-1	1	-1	1	-1	8230.5	13598.0	1.7141	0.26006	0.07286000000000001	0.027554000000000002	0.076304	0.12251
TCGA-BF-A5EP	SKCM_3	16128.0	0	0	0	0	0	0.7800199999999999	0	0	0	1	1	5732.9	1495.3	32925.0	1577.4	1780.0	1034.3	0	0	0	364.95	0	2.8173	0.042212	0.56345	53.246	8216.0	20204.0	22419.0	0.053038	3798.7	0.56345	30.99	10496.0	2847.2	0	0	77.20100000000001	1031.7	1274.3	13.523	13.523	0	0	0.067103	0	13.159	17.467	1531.5	13.597999999999999	0.036952	0.8773	1	40.005	14.368	169.32	0.049671	240.41	8.4518	0	0	0.023608	1874.8	5.9163	2.8173	0.64589	0	33231.0	432.94	0.23469	11255.0	0.075576	-1	0	1	0	0.30017	0.09829	0.014569	12.959000000000001	4.5076	3.4039	0.034332	1	-1	-1	-1	1	1	-1	1	1	1	-1	1	3002.5	35914.0	2.5355	0.083887	0.086176	0.032275	0.099235	0.028301999999999997
TCGA-BF-A5EQ	SKCM_1	10904.0	1	1	1	0	0	0.708	0	1	0	0	0	8797.6	270.69	22916.0	1246.8	7473.9	1215.7	1	1	0	1755.8	0	7.2141	0.054592999999999996	0.21218	4.8801	6664.1	14100.0	26002.0	0.7058800000000001	6042.6	2.5461	0.63654	8303.5	3240.4	1	0	3.0611	530.88	1621.1	5.941	4.0314	0	1	0.3337	0	10.058	5.941	1418.0	9.6206	0.5494899999999999	3.0611	1	19.096	10.185	300.86	0.055938999999999996	138.85	5.941	0	0	0.039823000000000004	968.62	4.8801	5.0923	0.54633	0	26690.0	386.57	0.36812	12414.0	0.068142	-1	0	0	0	0.58285	0.16141	0.11120999999999999	8.0628	2.7583	0.0	0.36121	-1	1	-1	-1	0	0	-1	1	1	0	0	-1	5165.0	22031.0	0.42436	0.047432	0.45533999999999997	0.032085	0.7548600000000001	0.056692
TCGA-BF-A5ER	SKCM_1	14451.0	1	1	1	0	0	0.7903600000000001	0	1	0	0	0	12850.0	240.91	44516.0	1083.9	25.684	781.3	0	1	0	2858.1	0	20.406	0.039598	0.35181999999999997	8.7955	12767.0	14137.0	23521.0	0.8488899999999999	10055.0	1.0555	3.1664	5348.4	6560.2	0	1	0.0	597.92	2020.3	5.6291	4.5737	0	0	0.0705	0	2.0547	2.8146	124.85	1.541	0.11020999999999999	2.0547	1	17.590999999999998	9.1473	264.54	0.8717	267.39	12.665999999999999	0	0	0.043726	1558.5	2.1109	0.0	0.71221	0	31478.0	3.0821	0.73911	10577.0	0.1032	-1	0	0	0	0.85501	0.49263	0.6296	4.2218	1.4073	0.0	0.07557	0	0	1	0	0	0	1	0	1	0	0	0	4232.2	49829.0	0.0	0.88534	0.55891	0.11093	0.043906	0.81215
TCGA-BF-A5ES	SKCM_3	7661.3	0	0	0	0	0	0.72145	0	1	0	0	0	7864.0	481.5	87250.0	547.4	30862.0	1030.1	0	1	1	918.5	1	13.960999999999999	0.049029	1.3088	12.652000000000001	6299.9	17021.0	54569.0	0.75526	8649.1	1.7451	0.0	7693.1	841.62	0	1	1.1561	715.61	1709.8	48.863	5.2353	0	0	0.071365	1	16.185	17.887	303.37	1.7341	0.039916	2.8902	1	39.701	24.432	332.95	0.24886999999999998	90.803	15.27	0	0	0.028709	682.08	17.887	3.4902	0.5876100000000001	0	41354.0	30.058000000000003	0.048082	19382.0	0.08884700000000001	0	0	0	0	0.7731399999999999	0.47003999999999996	0.39516999999999997	16.142	5.2353	0.0	0.40268000000000004	0	0	0	0	0	0	0	0	1	0	0	0	1378.6	55162.0	0.87256	0.55758	0.16045	0.031647	0.05271699999999999	0.4346
TCGA-BF-A9VF	SKCM_1	5400.4	1	1	1	0	0	0.9223299999999999	0	1	0	0	0	10378.0	18.776	29373.0	696.02	1408.2	939.46	0	1	0	303.01	0	22.744	0.058473000000000004	0.0	18.953	11661.0	10800.0	30236.0	0.044874000000000004	11203.0	0.29159	2.3327	6264.2	762.06	0	0	1.2949	646.16	703.79	5.2485	14.288	0	0	0.081432	0	9.0644	8.1644	1519.1	3.8848	0.082286	0.6475	1	60.65	7.2896	301.72	0.17018	131.53	1.4579	0	0	0.036774	486.24	21.869	4.0822	0.82794	0	20583.0	200.06	0.015415	7588.9	0.50785	-1	1	0	0	0.065791	0.017497	0.88794	2.6243	3.2074	0.0	0.038632	-1	-1	0	-1	0	0	0	0	1	0	-1	-1	2061.5	16270.0	0.0	0.033038	0.077606	0.030194	0.052134	0.032358
TCGA-BF-AAOU	SKCM_3	89858.0	0	0	0	0	0	0.58009	0	0	0	0	0	4143.2	1315.7	26198.0	1890.5	69.077	1428.5	0	0	0	255.8	0	9.3104	0.046969	0.98005	12.251	3170.6	10805.0	26782.0	0.65162	5566.1	2.9401	1.9601	4346.5	14304.0	0	1	58.284	450.62	880.73	12.741	15.190999999999999	0	0	0.049892	1	7.0157	17.641	844.0	3.7777	0.25406	3.7777	1	33.321999999999996	22.051	254.72	0.05752	181.69	5.3903	0	0	0.030744	299.51	15.681	10.780999999999999	0.26116999999999996	0	23840.0	177.55	0.13224	11102.0	0.083527	0	0	-1	0	0.51602	0.12395999999999999	0.014426	14.700999999999999	14.210999999999999	0.0	0.1279	0	0	0	-1	0	0	0	0	1	-1	0	0	1813.8	14377.0	2.9401	0.049895	0.069844	0.038664	0.3057	0.34394
TCGA-BF-AAOX	SKCM_2	4181.2	0	0	0	1	0	0.5403600000000001	1	0	1	1	1	6859.5	386.46	21057.0	689.41	345.52	1108.6	1	0	1	48.035	1	27.956	0.049881	1.1896	17.646	5817.6	7554.0	41042.0	0.61754	3920.8	0.99134	2.5775	7453.6	467.8	0	0	24.017	596.07	474.35	1.1896	7.1377	0	0	0.24111	0	25.655	10.706	204.68	1.6376	0.15387	0.0	0	18.439	14.077	227.62	0.14827	116.75	3.7671	0	0	0.030064999999999998	3484.7	15.663	17.844	0.078292	0	31807.0	566.05	0.014441999999999998	18359.0	0.068591	0	1	0	0	0.064171	0.020605000000000002	0.37043000000000004	12.094000000000001	6.9394	0.0	0.050906	0	0	0	-1	1	0	0	-1	0	0	0	0	1357.5	39566.0	0.0	0.65997	0.58803	0.034602	0.16675	0.40598
TCGA-BF-AAP0	SKCM_1	25760.0	1	1	1	0	0	0.24925	0	0	0	0	0	3425.1	909.89	19029.0	513.27	1025.3	1002.4	1	0	0	2603.0	0	7.2835	0.044051	4.1168	19.0	5045.5	37676.0	11337.0	0.053625	7992.4	6.1751	4.4334	8493.6	852.37	0	0	1284.4	575.22	1049.5	11.559000000000001	8.3919	0	0	0.045012	0	16.492	9.0252	1742.2	5.6315	0.049044	0.4023	1	54.468	5.8585	258.65	0.085124	333.31	2.6917	0	0	0.031483	1264.7	25.176	4.9084	0.27352	0	23778.0	321.4	0.14168	12044.0	0.08622	-1	0	1	0	0.070118	0.029074000000000003	0.013806	4.5918	10.45	0.0	0.12571	0	0	0	-1	1	0	0	0	1	1	-1	0	980.29	19266.0	1.9	0.089415	0.09047100000000001	0.045794999999999995	0.05724	0.040929
TCGA-BF-AAP1	SKCM_1	3420.8	1	1	0	0	0	0.87921	0	0	0	1	1	8976.2	1340.2	9465.5	4287.1	1642.3	1119.1	0	0	0	2072.8	0	13.378	0.78781	3.1743	7.4824	5553.8	23024.0	16977.0	0.042901	6923.6	0.22674	0.45348	4480.7	1735.5	0	1	2454.2	616.06	1203.0	11.564	6.3487	1	0	0.074838	0	23.308000000000003	19.273	1926.1	12.625	0.042686	1.9424	1	57.138000000000005	16.098	740.37	0.21201	491.36	9.0695	1	1	0.043266000000000006	691.16	51.696000000000005	6.3487	0.28464	0	17208.0	337.97	0.025480000000000003	6692.5	0.08202000000000001	0	1	-1	0	0.42696000000000006	0.8484700000000001	0.76321	19.046	11.564	15.157	0.042812	0	0	-1	-1	1	-1	-1	1	1	-1	1	0	6591.8	15187.0	0.0	0.026808999999999996	0.1919	0.024034	0.042224	0.046406
TCGA-BF-AAP2	SKCM_2	4352.2	0	0	0	1	0	0.8277200000000001	1	0	1	1	1	13585.0	1148.9	25492.0	2584.7	462.15	1470.4	1	0	0	1691.8	0	2.6819	0.045603	0.8939799999999999	12.069	9742.1	4971.5	22352.0	0.45557	10679.0	0.8939799999999999	0.44698999999999994	10629.0	850.04	1	0	138.07	721.34	616.08	4.4699	9.3868	0	1	0.11637	0	15.862	62.578	3267.7	0.3605	0.044614	2.8839	0	13.857000000000001	11.175	101.3	0.034258	50.188	2.6819	0	0	0.039655	629.06	10.728	5.8109	0.44966000000000006	0	17874.0	769.29	0.051601999999999995	18323.0	0.64452	0	1	0	0	0.064332	0.019962	0.011904999999999999	3.1289	15.645	3.3598	0.033148000000000004	-1	0	0	-1	0	0	0	0	0	0	0	-1	8568.1	26324.0	0.0	0.028995999999999997	0.053872	0.023677	0.05579099999999999	0.042143
TCGA-BF-AAP4	SKCM_4	4769.0	0	0	0	0	1	0.48098	0	1	0	1	1	9028.4	800.16	25529.0	1069.2	1888.6	1522.5	1	0	0	339.88	0	9.8311	0.050319	1.8726	17.322	4281.9	7296.9	55173.0	0.09956799999999999	18737.0	7.4904	2.3407	7606.5	2288.3	1	0	19.247	432.84	1260.4	5.6178	12.64	0	1	0.065688	0	20.884	22.471	737.59	6.1425	0.16521	0.0	1	23.406999999999996	23.875999999999998	202.7	0.03234	23.383000000000003	5.1496	0	0	0.026427	774.37	15.917	0.9363	0.37609000000000004	0	43259.0	35.626999999999995	0.038781	20800.0	0.084073	0	1	0	0	0.11162000000000001	0.028426999999999997	0.17690999999999998	28.089000000000002	15.449000000000002	0.0	0.056076999999999995	0	0	1	-1	1	1	1	1	1	0	-1	0	4200.2	19703.0	0.0	0.39437	0.1103	0.020863999999999997	0.50983	0.05144
