PRAD	Labels	N:GEXP::TFF3:7033:	N:GEXP::SEPP1:6414:	N:MIR::hsa-miR-200b-3p:Corrected:	N:GEXP::ERG:2078:	N:GEXP::HLA-DMB:3109:	B:MUTA:COMP:SPOP::	B:MUTA:nons:SPOP::	N:METH:cg06816106:RP11-713D19.1:TssD221:Shore	B:MUTA:LOF:SMAD3::	N:GEXP::GHR:2690:	N:GEXP::CACNA1D:776:	N:GEXP::MAGED4B:81557:	N:GEXP::OGDHL:55753:	N:GEXP::LAT2:7462:	N:METH:cg10520594:NT5C:TssU53:Island	N:GEXP::ITPR3:3710:	B:MUTA:COMP:ACVR2A::	N:GEXP::ATP10A:57194:	N:MIR::hsa-miR-582-3p:Corrected:	N:GEXP::TP53I3:9540:	N:METH:cg13376158:NT5C:TssU132:Shore	N:GEXP::AGFG2:3268:	N:METH:cg08378505:NT5C:TssD57:Island	N:METH:cg04554033:C1QTNF1:TssU112:Island	N:GEXP::HDAC1:3065:	N:GEXP::ALOX15:246:	N:GEXP::EML6:400954:	N:GEXP::SEPT9:10801:	B:MUTA:COMP:JAK1::	N:MIR::hsa-miR-629-5p:Corrected:	N:MIR::hsa-miR-3065-3p:Corrected:	N:GEXP::H2AFY2:55506:	N:METH:cg26522057:B3GNT9:TssD556:Island	N:METH:cg23584144:DACT2:TssD86:Island	N:METH:cg07013787:SP5:TssU54:Island	N:METH:cg05145649:NT5C:TssU51:Island	N:METH:cg26020635:NA:NA:Island	N:METH:cg06172475:FLI1:TssU81:Island	N:METH:cg18153124:KCNQ3:TssD47:Island	N:METH:cg21092177:NT5C:TssU140:Shore	N:METH:cg12518360:SLC36A4:TssU173:Island	N:METH:cg25331703:LRRK1:TssU138:Island	N:METH:cg06620911:ANGPTL4:TssU2:Island	N:METH:cg08659394:B3GNT9:TssD200:Island	N:MIR::hsa-miR-99a-3p:Corrected:	N:GEXP::NKAIN1:79570:	N:GEXP::CCDC141:285025:	N:GEXP::TDRD1:56165:	N:GEXP::CNTLN:54875:	N:GEXP::SLC18A3:6572:	N:GEXP::PAX1:5075:	N:METH:cg27306873:LIPT1:TssD439:Shore	N:METH:cg14044057:RP11-713D19.1:TssD277:Shore	N:METH:cg06158040:EXO5:TssD161:Shore	N:GEXP::CHD1:1105:	N:METH:cg15031983:NA:NA:NA	N:METH:cg24016939:ZNF671:TssU142:Shore	N:METH:cg00245192:MGLL:TssD271:Island	N:METH:cg14913925:FAM200A:TssD519:Shore	N:METH:cg12030835:NA:NA:NA	N:GEXP::KIAA0087:9808:	N:GEXP::LOC100190940:100190940:	N:GEXP::CDH7:1005:	I:CNVR::TMPRSS2:7113:	N:GEXP::AMPD3:272:	N:METH:cg01184522:ZNF496:TssU669:Island	N:GEXP::C17orf44:284029:	N:GEXP::KCNH8:131096:	N:GEXP::KCNG3:170850:	N:METH:cg18190030:SLC35F3:TssU1382:Shore	N:METH:cg26937798:CTD-3203P2.3:TssU631:Shore	I:CNVR::GRIK2:2898:	N:GEXP::PKNOX2:63876:	I:CNVR::MINPP1:9562:	N:METH:cg18107409:PPP2R5C:TssU441:Island	I:CNVR::CHD1:1105:	I:CNVR::GPATCH8:23131:	I:CNVR::MIXL1:83881:	N:METH:cg10444953:NA:NA:NA	N:METH:cg25820220:RP11-395G23.3:TssD16:Island	N:METH:cg05689600:ALDH7A1:TssD268:Shore
TCGA-CH-5752	PRAD_1	145.07	3149.6	909.68	8276.9	22995.0	0	0	0.042466000000000004	0	2266.6	4315.0	1382.6	338.81	166.99	0.68699	3122.7	1	136.04	660.23	1301.7	0.14367	1549.7	0.66864	0.50331	3308.2	88.65299999999999	618.63	7699.9	0	69.757	61.79600000000001	904.9	0.2452	0.39259	0.5370699999999999	0.44723999999999997	0.018882	0.072657	0.02417	0.13124	0.61785	0.022482	0.3131	0.62745	4.1703	68.343	5.4803	1746.6	716.96	2.2566	337.2	0.038589	0.054268	0.022965	1128.6	0.25503000000000003	0.32702	0.020273	0.12049000000000001	0.11603	5.1579999999999995	26.756999999999998	137.98	-1	374.27	0.039218	77.692	85.751	1165.0	0.050263999999999996	0.29855	0	2090.6	0	0.030489999999999996	0	-1	0	0.41702	0.083838	0.033557
TCGA-CH-5754	PRAD_1	715.45	2608.4	725.48	6445.6	2600.5	0	0	0.38672	0	623.33	1358.4	745.28	1401.9	127.63	0.17840999999999999	2617.8	1	656.0	195.41	504.63	0.10765	1116.6	0.027427999999999998	0.31548000000000004	4642.9	164.65	113.69	7944.9	0	63.655	24.105	1545.5	0.043692	0.05316799999999999	0.20425	0.025223	0.02598	0.077052	0.0438	0.084829	0.044879	0.028435000000000002	0.030126	0.019216999999999998	2.8083	2318.6	22.215	472.39	301.86	166.18	79.71300000000001	0.1244	0.1846	0.045526	637.26	0.028714	0.027602999999999996	0.023155000000000002	0.04741	0.043476	22.868000000000002	31.145	132.42	-1	1125.8	0.041679	39.421	191.22	528.59	0.13873	0.068276	-1	214.75	-1	0.034796	0	0	0	0.10670999999999999	0.10887000000000001	0.050559
TCGA-CH-5761	PRAD_2	3612.0	3757.3	664.12	279.28	333.24	0	0	0.047177	0	2286.5	371.58	70.441	46.49	80.764	0.07839199999999999	971.46	1	276.23	119.79	245.35	0.065568	337.99	0.036719	0.033096	3772.2	95.35600000000001	33.595	3665.9	1	114.33	28.485	2265.1	0.053949000000000004	0.28784	0.055170000000000004	0.021705000000000002	0.021556	0.042395999999999996	0.34223000000000003	0.059369000000000005	0.041066000000000005	0.023297	0.026574	0.012619	1.5608	31.22	8.4836	144.9	335.95	1.3574	17.985	0.041783	0.091526	0.01975	546.35	0.17834	0.09088099999999999	0.021563	0.049509	0.2275	0.3393	1.3574	5.7689	-1	706.18	0.045908	18.325	3.0541	612.18	0.039338	0.074817	-1	102.82	1	0.042664	-1	0	0	0.043160000000000004	0.42541	0.022125
TCGA-CH-5764	PRAD_1	399.44	3830.3	682.71	9112.2	2386.9	0	0	0.050599	0	3797.2	2264.6	532.25	679.05	105.16	0.55479	3062.5	1	434.5	589.38	247.0	0.15153	784.22	0.6159899999999999	0.41652	4919.7	78.258	57.063	7061.2	0	88.788	30.191	846.98	0.050473000000000004	0.031651	0.44366000000000005	0.41251000000000004	0.018739	0.037383	0.033643	0.15787	0.043487	0.031202999999999998	0.025169999999999998	0.012813	2.1101	937.47	2.4456	1341.0	276.35	0.0	29.346999999999998	0.087198	0.07305700000000001	0.033299	810.3	0.030574	0.058173	0.02507	0.034415	0.040727	33.423	127.98	143.47	-1	709.22	0.047393	38.314	254.34	366.02	0.11732999999999999	0.075198	0	129.62	0	0.039977	0	0	0	0.051176	0.088328	0.055453999999999996
TCGA-CH-5765	PRAD_1	217.99	4082.7	884.48	11069.0	1943.0	0	0	0.65387	1	4476.9	6703.6	1139.6	1022.7	80.126	0.67438	3280.9	1	636.81	828.16	102.87	0.5355800000000001	1068.9	0.6934100000000001	0.51851	5682.6	241.08	572.43	5964.7	1	47.854	21.16	1200.5	0.0979	0.032059	0.61345	0.72465	0.021148	0.034529000000000004	0.033351	0.4504	0.055709	0.44088	0.23431999999999997	0.41578999999999994	3.2553	1916.4	3.8488	1281.7	673.9	3.1491	73.47800000000001	0.45151	0.42804	0.050301	946.82	0.55205	0.54784	0.027556999999999998	0.044945	0.49936	36.039	206.44	146.26	-1	1160.2	0.028379	63.681000000000004	151.16	319.45	0.23512	0.30201	0	116.86	0	0.11352000000000001	0	0	0	0.074893	0.24918	0.086482
TCGA-CH-5766	PRAD_1	648.26	4086.8	650.87	2047.3	1035.5	0	0	0.038247	0	1387.3	650.67	203.35	83.189	117.71	0.061833000000000006	1476.9	1	835.69	184.65	478.77	0.049677	1286.5	0.022555000000000002	0.059837	3597.5	1062.8	31.412	5277.5	0	49.864	31.432	2024.2	0.045662	0.044965	0.034105	0.021874	0.021749	0.03391	0.3599	0.058740999999999995	0.03032	0.025347	0.029692000000000003	0.01265	3.9496	181.22	7.2489	551.61	151.88	0.0	1.7259	0.034041	0.10031	0.030470999999999998	759.06	0.022563999999999997	0.022097	0.018866	0.028932999999999997	0.032560000000000006	4.4874	27.96	195.38	0	869.17	0.028423	95.961	44.873999999999995	45.56399999999999	0.051716	0.028414	-1	422.16	-1	0.040261	-1	0	1	0.025004	0.079479	0.029457
TCGA-CH-5767	PRAD_2	46536.0	36430.0	29.252	112.82	471.51	0	0	0.33815	1	368.44	364.69	29.621	5.2474	361.32	0.055096000000000006	837.87	1	413.79	546.04	161.17	0.06307	1621.8	0.029383999999999997	0.021800999999999997	2502.6	1.1244	10.495	2481.6	0	76.055	33.152	273.24	0.25296	0.29236999999999996	0.035045	0.019062	0.46602	0.43853000000000003	0.17476	0.08430399999999999	0.65082	0.62498	0.019408	0.71391	11.700999999999999	8.2459	172.41	307.72	54.348	0.0	5.2474	0.15732000000000002	0.30422	0.031488	828.34	0.74546	0.046126	0.62989	0.044582	0.6954199999999999	0.7496	1.1244	1.1244	0	172.41	0.37465	81.334	4.1229	12.369000000000002	0.22660999999999998	0.09681000000000001	-1	494.38	0	0.036634	0	0	0	0.067466	0.23917	0.036402
TCGA-CH-5768	PRAD_1	1184.0	8397.3	614.21	9341.2	666.68	0	0	0.21923	0	1202.2	1110.2	157.56	286.15	196.5	0.62679	2459.7	1	132.8	718.6	531.51	0.15079	1865.9	0.6914399999999999	0.45597	3917.2	239.98	45.163999999999994	5105.6	0	64.973	21.658	597.92	0.19874	0.034053	0.42994	0.42091999999999996	0.02576	0.17202	0.065911	0.09160399999999999	0.041198	0.021779	0.021151	0.51077	3.4652	342.44	19.212	1242.7	225.15	0.337	6.7409	0.042244	0.11548	0.026773	919.13	0.024579	0.016009	0.44111999999999996	0.027816000000000004	0.033982	17.189	85.947	56.623999999999995	-1	662.97	0.085177	95.04700000000001	388.28	89.654	0.12605999999999998	0.071793	0	94.71	0	0.042960000000000005	0	-1	0	0.072999	0.091882	0.04782
TCGA-CH-5769	PRAD_1	547.38	6215.3	389.94	4029.1	3935.9	0	0	0.6049399999999999	0	535.55	1062.1	128.64	321.99	119.33	0.37587	2008.2	1	266.12	622.93	525.13	0.18563	1808.8	0.41863999999999996	0.086907	4759.8	429.0	68.186	8518.1	0	32.814	15.495999999999999	1835.3	0.050395999999999996	0.036215	0.13394	0.091804	0.017197	0.044996	0.027089	0.1995	0.057113	0.029110000000000004	0.021756	0.45182	3.6460000000000004	1575.9	4.2616	557.8	552.59	2.3676	5.2087	0.032744	0.4008	0.023234	735.84	0.023063	0.016384	0.018851	0.028661000000000002	0.036882	29.831	29.358	53.507	-1	981.12	0.019912	52.086999999999996	278.9	33.62	0.037923	0.026549	0	48.772	-1	0.030802	0	0	0	0.026883999999999998	0.092825	0.035121
TCGA-CH-5788	PRAD_3	2160.2	18348.0	831.06	98.124	194.08	1	1	0.5202899999999999	1	1304.5	101.73	45.909	2.886	429.29	0.036442	1631.3	1	255.41	805.32	1059.2	0.042615	2311.7	0.020942	0.023451	2775.6	8.658	2.1645	3514.4	0	128.36	184.2	48.34	0.040066000000000004	0.3039	0.022865	0.021938	0.68972	0.036949	0.07244600000000001	0.044824	0.58537	0.42218	0.031332	0.45898999999999995	1.8130000000000002	24.531	168.11	2577.9	77.922	0.0	0.0	0.03028	0.22998000000000002	0.021405	193.36	0.60537	0.39747	0.01957	0.030667000000000003	0.68847	0.0	2.886	1.443	0	567.1	0.029385	133.48	1.443	4.329	0.028895	0.039625	-1	116.16	1	0.03207	-1	0	0	0.027520999999999997	0.086715	0.35436
TCGA-CH-5789	PRAD_1	772.04	8845.1	299.4	1123.3	656.17	0	0	0.052057000000000006	0	1790.1	323.25	825.6	84.148	273.13	0.14232	2039.2	0	316.36	352.56	206.46	0.11064	660.31	0.10453	0.060372	2978.3	11.495999999999999	48.281000000000006	4312.7	0	43.007	35.649	558.23	0.046662	0.049326	0.18504	0.044251	0.022528	0.043891	0.032461000000000004	0.08981	0.054939999999999996	0.02405	0.028606	0.018202	3.2985	146.68	5.9777	167.84	244.17	0.4598	2.7589	0.043651	0.087877	0.024225999999999998	1306.4	0.029644	0.023245	0.037697	0.032945	0.028818	10.116	39.545	17.012999999999998	0	628.58	0.031633999999999995	23.451	17.933	29.429000000000002	0.091581	0.05368	0	530.18	0	0.033605	0	0	0	0.045521	0.10758	0.08278300000000001
TCGA-CH-5790	PRAD_1	150.69	4097.8	1240.3	11035.0	7295.0	0	0	0.35427	0	2044.3	3173.1	1210.1	947.1	99.008	0.70681	5194.0	1	254.59	1260.5	289.41	0.25577	1813.7	0.77165	0.433	4960.7	145.25	287.77	7941.8	0	98.164	20.546	937.31	0.057214	0.036772000000000006	0.66459	0.64768	0.022054	0.037847000000000006	0.047478	0.23096999999999998	0.042112000000000004	0.033213	0.033815	0.014844	1.9568	1559.1	5.984	1342.0	331.84	1.632	9.248	0.031788	0.24906999999999999	0.017823	846.46	0.018666	0.019666	0.017977	0.025998	0.040753	79.42399999999999	239.36	83.23200000000001	-1	1536.2	0.031508	42.976000000000006	343.81	285.06	0.059914	0.082599	0	48.96	-1	0.042466000000000004	0	0	0	0.037968	0.083601	0.024401
TCGA-CH-5791	PRAD_1	1535.8	2121.8	1436.4	6260.7	1684.0	0	0	0.048395999999999995	0	2153.6	755.66	781.69	311.73	68.38600000000001	0.47853999999999997	2074.1	1	255.31	282.41	210.29	0.27475	877.62	0.5816	0.25902	4741.4	205.73	63.827	3724.2	0	55.995	41.167	1209.3	0.032538	0.031927	0.5686399999999999	0.36451999999999996	0.020894	0.033664	0.029939	0.30439	0.045114	0.022966999999999998	0.030342	0.012485	2.4346	543.1	3.4193	534.55	165.84	17.096	102.58	0.044047	0.11645	0.022277	712.35	0.028225	0.013531	0.059216	0.024191	0.042836	13.677	43.31100000000001	71.805	-1	1154.6	0.13016	40.461999999999996	69.52600000000001	241.06	0.21134	0.24325	0	43.881	-1	0.032482	0	0	0	0.46253999999999995	0.093459	0.33781
TCGA-CH-5792	PRAD_2	11404.0	8553.3	192.1	335.52	1173.2	0	0	0.025386000000000002	0	276.81	337.32	302.45	15.965	617.74	0.07557799999999999	1980.8	0	243.34	226.17	255.44	0.069925	1014.8	0.021062	0.035153	2546.4	3.3475	23.947	5371.7	0	80.715	66.872	555.68	0.093711	0.13287000000000002	0.33039	0.021311	0.21441999999999997	0.23874	0.1757	0.060029	0.054417999999999994	0.26781	0.031007	0.51157	4.2594	106.6	8.2399	96.819	150.38	0.0	0.7725	0.057661000000000004	0.067101	0.30195	453.97	0.23324	0.045982999999999996	0.3125	0.33163000000000004	0.16425	3.3475	36.05	14.677	0	526.58	0.14147	71.327	16.995	9.5274	0.21175	0.13055	-1	466.07	0	0.033477	-1	0	0	0.04228	0.28017	0.046442000000000004
TCGA-CH-5794	PRAD_1	427.69	4613.4	626.71	8858.8	19552.0	0	0	0.31537	0	1486.1	2861.6	2084.0	3426.4	122.68	0.1054	2868.6	1	221.57	909.86	401.42	0.068723	983.93	0.027658	0.079559	4088.1	254.33	330.04	9995.1	1	42.351000000000006	5.9628	1552.8	0.06579199999999999	0.044204	0.37988	0.023983	0.020455	0.030184	0.027224	0.059892999999999995	0.040050999999999996	0.032831	0.04487	0.013271000000000002	0.61157	3452.1	9.5797	744.13	503.09	81.273	198.08	0.052566999999999996	0.16942000000000002	0.34665	616.19	0.024219	0.15665	0.024321000000000002	0.028541000000000004	0.037159	54.388000000000005	235.78	209.52	-1	1876.7	0.044008	54.07899999999999	115.88	128.86	0.088497	0.088154	0	109.7	-1	0.094073	0	0	0	0.048284	0.094947	0.031058999999999996
TCGA-EJ-5495	PRAD_1	302.13	7398.1	425.12	4251.2	3075.8	0	0	0.29304	0	1619.6	3181.1	200.16	478.16	128.37	0.37621	2552.7	1	177.97	558.82	261.29	0.29246	842.86	0.38921	0.12032000000000001	3495.3	73.264	96.28	6472.8	0	31.373	31.163	475.56	0.064047	0.048201999999999995	0.42618	0.35744000000000004	0.024968999999999998	0.052871	0.044838	0.26563000000000003	0.069895	0.31861	0.030726999999999997	0.10207999999999999	2.7373	397.44	10.049	873.33	329.04	1.2967	72.291	0.086146	0.13143	0.051026999999999996	1067.5	0.029216000000000002	0.029668	0.093377	0.042448	0.038724	258.04	14.588	261.93	-1	504.42	0.033769	67.104	37.28	233.73	0.18164	0.082679	0	194.18	-1	0.040964999999999994	1	0	0	0.19444	0.10805	0.049694
