MESO	Labels	N:GEXP::KRT7:3855:	N:GEXP::SPARC:6678:	N:GEXP::IGF2:3481:	N:GEXP::MT2A:4502:	N:GEXP::KRT8:3856:	N:GEXP::SLPI:6590:	N:GEXP::C3:718:	N:GEXP::TIMP1:7076:	N:GEXP::CLU:1191:	N:GEXP::C4A:720:	N:GEXP::RARRES2:5919:	N:GEXP::MGP:4256:	N:GEXP::PPARGC1A:10891:	N:GEXP::CLDN1:9076:	N:GEXP::KRT17:3872:	N:GEXP::EEF2:1938:	N:GEXP::GAPDH:2597:	N:GEXP::LGALS3BP:3959:	N:GEXP::DHCR24:1718:	N:GEXP::EFEMP1:2202:	N:GEXP::GNAS:2778:	N:GEXP::HSPB1:3315:	N:GEXP::B2M:567:	N:GEXP::C3AR1:719:	N:GEXP::PDZK1IP1:10158:	N:GEXP::ACTB:60:	N:GEXP::ARNTL2:56938:	N:GEXP::COL6A1:1291:	N:GEXP::C7:730:	N:GEXP::HLA-B:3106:	N:GEXP::TPT1:7178:	N:GEXP::FOSL1:8061:	N:GEXP::LY6E:4061:	N:GEXP::HLA-C:3107:	N:GEXP::HLA-A:3105:	N:GEXP::PSAP:5660:	N:GEXP::ALDOA:226:	N:GEXP::DLGAP5:9787:	N:GEXP::KLK10:5655:	N:GEXP::RBP1:5947:	N:GEXP::BST2:684:	N:GEXP::ARHGDIB:397:	N:METH:cg15193782:ARMC3:TssD1:NA	N:GEXP::ACTG1:71:	N:GEXP::DCBLD2:131566:	N:GEXP::TFPI2:7980:	N:GEXP::TMSL3:7117:	N:GEXP::SATB2:23314:	N:GEXP::PARD6B:84612:	N:GEXP::GIMAP4:55303:	N:GEXP::FLI1:2313:	N:GEXP::IL12RB1:3594:	N:GEXP::CCNA2:890:	N:GEXP::SNCG:6623:	N:MIR::hsa-miR-181d-5p:Corrected:	N:GEXP::C19orf21:126353:	N:GEXP::EZR:7430:	N:GEXP::AQP1:358:	N:GEXP::CPB1:1360:	N:GEXP::ADH1B:125:	N:GEXP::CARHSP1:23589:	N:GEXP::CALB2:794:	N:GEXP::CA9:768:	N:GEXP::LARP6:55323:	N:GEXP::CYP17A1:1586:	N:GEXP::PLXND1:23129:	N:GEXP::SOX9:6662:	N:GEXP::ARHGAP10:79658:	N:METH:cg26103512:CSNK1D:TssU204:Island	N:GEXP::MT1E:4493:	N:GEXP::TRPV6:55503:	N:GEXP::FBXO2:26232:	N:GEXP::PLEK:5341:	N:GEXP::IL27RA:9466:	N:GEXP::HSD17B6:8630:	N:GEXP::ARHGEF5:7984:	N:GEXP::MARCH3:115123:	N:GEXP::DNMT1:1786:	N:GEXP::VTN:7448:	N:GEXP::ARHGAP31:57514:	N:GEXP::MS4A6A:64231:	N:GEXP::MARK3:4140:	N:GEXP::LRRC33:375387:	N:GEXP::NT5C3:51251:	N:GEXP::SCARA3:51435:	N:GEXP::RCSD1:92241:	N:GEXP::ARHGEF3:50650:	N:GEXP::GAS2:2620:	N:GEXP::KIAA1737:85457:	N:GEXP::ALDH1A2:8854:	N:GEXP::PPARGC1B:133522:	N:METH:cg21035368:ERCC1:TssD6196:Island	N:MIR::hsa-miR-301a-5p:Corrected:	N:GEXP::ARL3:403:	N:GEXP::C4BPA:722:	N:GEXP::CLIC5:53405:	N:GEXP::TNXB:7148:	N:METH:cg08839858:ARMC3:TssU111:NA	N:GEXP::EARS2:124454:	N:GEXP::KIF7:374654:	N:METH:cg03932406:SPRED2:TssD1431:Island	N:GEXP::C8orf77:286103:	N:GEXP::ARF6:382:	N:GEXP::CARM1:10498:	N:GEXP::SCARF1:8578:	N:GEXP::PARVG:64098:	N:GEXP::ARHGEF35:445328:	N:GEXP::SLC26A6:65010:	N:METH:cg03053575:ZNF69:TssD64:Shore	N:GEXP::ABLIM1:3983:	N:GEXP::ACPL2:92370:	N:METH:cg05207415:MARK3:TssU512:Island	N:METH:cg04857420:TNFRSF11B:TssU190:Island	N:GEXP::CARNS1:57571:	N:GEXP::PORCN:64840:	N:GEXP::ARL2:402:	N:GEXP::PARP9:83666:	N:GEXP::MARCH4:57574:	N:GEXP::RCHY1:25898:	N:METH:cg13764991:DMRT2:TssD431:Island	N:GEXP::NDUFA5:4698:	N:GEXP::ARHGAP30:257106:	N:GEXP::MARVELD3:91862:	N:GEXP::IRAK2:3656:	N:METH:cg02221347:DARS:TssD33:Island	N:METH:cg17385674:ARID1A:TssU821:Shore	N:METH:cg03093695:GSG1:TssD2527:Island	N:METH:cg21940042:ZNF69:TssU92:Shore	N:MIR::hsa-miR-1287-5p:Corrected:	N:GEXP::BIN2:51411:	N:GEXP::SLC7A4:6545:	N:METH:cg23996306:DARS:TssD44:Island	N:GEXP::XAF1:54739:	N:GEXP::CHP:11261:	N:GEXP::ARC:23237:	N:METH:cg13539253:GARNL3:TssD221:Shore	N:METH:cg03894174:NA:NA:Shore	N:METH:cg03608000:ZNF69:TssU11:Shore	N:METH:cg18863156:LHX4:TssD4983:Island	N:GEXP::SYBU:55638:	N:GEXP::INPP5J:27124:	I:CNVR::NEGR1:257194:	N:GEXP::ITLN1:55600:	N:GEXP::STRADB:55437:	N:METH:cg25124633:TARID:TssD106:Island	N:METH:cg06377221:ARRDC2:TssU203:Island	N:METH:cg03040522:ADAR:TssD737:Shore	N:GEXP::HYDIN:54768:	N:GEXP::COL7A1:1294:	N:METH:cg19720265:MARK1:TssU643:Shore	N:GEXP::CALML4:91860:	N:METH:cg20315346:CHP1:TssD13:Island	N:GEXP::FAM64A:54478:	N:GEXP::PYHIN1:149628:	N:GEXP::VASP:7408:	N:GEXP::EPB41L5:57669:	N:METH:cg21958603:NA:NA:Island	N:METH:cg15169189:PTPRM:TssD2110:Shore	N:GEXP::ADAT2:134637:	N:METH:cg14257369:FGF22:TssU314:Island	N:MIR::hsa-miR-151b:Corrected:	N:GEXP::CHST4:10164:	N:GEXP::RSPO1:284654:	N:GEXP::GALNT4:8693:	N:GEXP::MT1L:4500:	N:GEXP::RICH2:9912:	N:GEXP::DTD1:92675:	N:GEXP::DHODH:1723:	N:GEXP::PNCK:139728:	N:GEXP::CTAGE9:643854:	I:CNVR::GATA6:2627:	N:GEXP::SIGLEC1:6614:	N:GEXP::LOC441294:441294:	N:GEXP::FLJ42875:440556:	N:METH:cg05235761:MOXD1:TssD570:Shore	I:CNVR::CSPG5:10675:	I:CNVR::MIR491:574444:	I:CNVR::LINC01107:151171:	I:CNVR::ASCC3:10973:	I:CNVR::TMEM135:65084:	I:CNVR::SYNPR:132204:
TCGA-3U-A98I	MESO_2	3079.1	384500.0	3043.6	10076.0	21934.0	1954.7	65852.0	28068.0	15629.0	36056.0	5191.1	4035.6	37.333	3473.8	66.667	54077.0	71248.0	14535.0	4076.4	14506.0	18887	7077.3	51286.0	954.67	174.22	146640.0	236.44	58600.0	618.67	43212.0	47119.0	473.78	7947.6	18998.0	20018.0	67089.0	20091	171.56	103.11	916.44	2606.2	3461.3	0.032841	78137.0	2569.8	338.67	50813.0	267.56	93.333	673.78	762.67	63.111000000000004	183.05	220.44	17.804000000000002	373.33	10767.0	8817.8	159.11	0.8889	1528.3	4512.0	379.31	600.0	0.0	5429.3	190.22	308.44	0.15274000000000001	1785.8	6.2222	124.44	817.78	429.33	715.56	264.89	271.11	6069.3	776.0	812.44	2241.8	1003.6	146.67	455.11	3064.0	595.56	1555.6	4.4444	354.67	3427.6	47.111000000000004	0.017958000000000002	4.7787	550.22	0.8889	348.44	6396.0	0.040759	398.22	564.18	0.23489000000000002	2.6667	2600.0	3176.9	343.11	608.89	294.22	178.67	0.24006	1098.7	302.22	0.084736	0.020803	454.2	199.11	1320.9	1878.2	23.111	207.11	0.23167	1142.2	688.0	22.853	178.67	0.24067	0.09564600000000001	0.039764999999999995	0.35720999999999997	20.701999999999998	305.78	381.33	0.19752	1248.9	2999.1	75.556	0.088938	0.07295	0.24528000000000003	0.07632699999999999	138.67	9.7778	1	56184.0	133.33	0.02475	0.023546	0.091848	234.67	215.11	0.1817	263.11	0.018673	53.333	20.444000000000003	2560.0	228.44	0.025443	0.19309	66.667	0.17193	1.4348	7.1111	689.78	324.44	106.67	193.78	460.44	123.56	4.4444	112.0	0	1359.1	32.889	13.333	0.21679	0	0	-1	0	0	-1
TCGA-3U-A98J	MESO_4	2259.5	62097.0	1041.7	17602.0	35213.0	57782.0	405730.0	311920.0	22018.0	12954.0	6532.5	4225.5	25.566	17281.0	176.91	54962.0	76815.0	43364.0	6023.8	17108.0	18517	12471.0	76382.0	467.85	1483.3	146350.0	14.317	25705.0	4454.6	79674.0	74107.0	116.58	22675.0	46790.0	50770.0	87824.0	64451	33.235	232.65	645.79	872.81	2633.8	0.035248	125060.0	794.07	195.83	151020.0	30.168000000000003	616.13	490.35	507.73	84.87799999999999	88.595	831.39	22.37	780.26	29485.0	185970.0	1080.4	7235.1	4025.2	18287.0	979.71	556.31	0.588	2183.3	45.507	233.16	0.067953	6517.7	24.543000000000003	1417.9	461.2	141.63	3133.3	654.99	363.03	1099.8	7678.4	346.67	1802.4	852.87	143.68	529.72	755.21	341.56	2635.8	6.6471	582.9	9134.6	58.801	0.021849	3.4218	764.41	122.72	1023.1	15305.0	0.019662	901.96	577.94	0.037091000000000006	11.76	1548.8	1754.8	151.86	425.92	761.35	234.91	0.086767	2347.9	166.18	0.068716	0.021637	2220.1	225.49	2146.0	1561.1	2.0453	510.29	0.1742	1965.0	773.11	15.585	78.742	0.022637	0.027157999999999998	0.039501	0.063419	16.299	242.36	664.2	0.029818	660.62	3588.9	14.828	0.063307	0.055501999999999996	0.023977000000000002	0.10206	391.15	41.416000000000004	0	770460.0	366.1	0.015288	0.017476	0.046324000000000004	296.05	32.724000000000004	0.05865700000000001	601.3	0.025877999999999998	33.235	75.67399999999999	2085.6	484.21	0.025906000000000002	0.11076	83.855	0.022632	1.1939	55.733000000000004	1970.1	702.33	433.08	455.58	497.0	351.27	13.294	369.17	0	424.9	117.6	7.6697	0.061239999999999996	0	0	0	0	0	0
TCGA-LK-A4NW	MESO_3	269.45	137920.0	2902.1	6467.3	70278.0	10673.0	293290.0	18337.0	30896.0	98433.0	12993.0	5533.6	422.41	635.39	17.340999999999998	51678.0	86597.0	38855.0	5823.9	17058.0	23067	17721.0	48947.0	388.62	4379.3	146590.0	33.793	35080.0	2141.4	16500.0	72201.0	48.021	19185.0	9105.2	18931.0	79308.0	29322	376.61	527.35	550.02	6445.5	3245.9	0.042678	108540.0	875.06	247.22	39792.0	82.70299999999999	387.28	847.93	457.54	28.901999999999997	444.53	1993.8	8.3573	1056.0	51647.0	155220.0	718.99	2530.5	3797.7	14564.0	3738.5	160.96	0.8893	5029.4	49.355	162.74	0.068435	2320.6	259.23	3056.9	344.6	137.84	12100.0	433.08	220.99	1336.6	8915.1	538.02	791.46	2304.1	159.63	1710.1	8020.0	353.94	432.64	8.0036	898.18	8940.0	62.25	0.43175	8.0364	289.46	13.339	2060.9	1567.4	0.036545	551.8	242.38	0.43255	34.236999999999995	1894.6	1320.6	386.39	345.93	241.88	127.17	0.34551	3316.1	230.77	0.31735	0.33095	1488.7	71.143	1293.9	1921.3	36.905	720.32	0.43296	1888.0	294.35	70.502	60.916000000000004	0.10302	0.48918	0.4984	0.42768	44.45399999999999	181.41	8382.0	0.14932	1265.9	12146.0	10.671	0.073238	0.32506999999999997	0.37459000000000003	0.25128	571.37	10.671	0	462200.0	951.09	0.24581999999999998	0.053684	0.054942	26.678	60.916000000000004	0.34848	789.24	0.025006	80.48	20.898000000000003	2665.6	210.76	0.48236999999999997	0.31411999999999995	70.69800000000001	0.19804000000000002	2.677	200.53	3339.3	1401.2	44.909	1010.7	237.44	401.07	34.236999999999995	200.98	0	414.85	65.807	35.571	0.083027	-1	0	0	0	-1	0
TCGA-LK-A4NY	MESO_4	10247.0	48627.0	3175.9	29958.0	49386.0	6321.1	80722.0	58121.0	16746.0	12118.0	5710.2	10876.0	193.0	6534.2	65.363	76519.0	102620.0	38185.0	2802.9	34396.0	29657	13213.0	33660.0	258.88	891.92	88928.0	33.968	20919.0	3178.1	16212.0	154660.0	73.083	9211.0	10035.0	17028.0	32175.0	32507	72.053	160.06	11668.0	488.42	2346.4	0.024250999999999998	152860.0	2944.9	703.04	79594.0	66.907	719.51	271.75	172.93	16.469	152.95	567.16	14.26	3277.9	15806.0	27169.0	1264.0	3407.1	2167.8	28769.0	1004.1	978.38	2.0587	1232.6	76.686	432.32	0.035720999999999996	14973.0	21.616	1053.0	79.259	88.523	328.87	419.97	57.128	731.34	1992.3	167.27	588.78	902.73	51.467	730.31	2025.2	214.1	4712.8	24.189	373.13	14767.0	45.806000000000004	0.025705000000000002	0.84072	296.96	143.08	1097.3	12364.0	0.016097999999999998	802.88	657.69	0.07798300000000001	27.276999999999997	1643.8	1453.4	65.363	342.25	435.41	251.67	0.038149	1798.2	326.3	0.083678	0.014709999999999999	1329.9	218.22	2124.6	1130.2	0.5147	566.13	0.029055	2034.0	107.57	23.345	33.968	0.072729	0.027397	0.03117	0.029049000000000002	7.6972	113.74	752.45	0.0684	609.37	1739.1	80.288	0.06764400000000001	0.043421	0.026018	0.07024	287.7	49.923	0	676820.0	546.58	0.35327	0.016175	0.045712	216.16	60.216	0.056932	1653.6	0.019658000000000002	42.203	13.895999999999999	1529.6	1140.5	0.020858	0.12262999999999999	146.17	0.02079	1.0706	142.05	1363.9	207.48	174.99	1164.2	976.84	273.29	25.733	241.89	0	25.219	76.686	3.088	0.13366	0	-1	0	0	0	0
TCGA-LK-A4NZ	MESO_3	14612.0	31290.0	2581.6	2799.9	56104.0	17641.0	181920.0	17092.0	9598.5	61967.0	13889.0	5251.7	44.817	280.67	575.37	67851.0	41077.0	26757.0	6934.4	68565.0	11310	6123.1	86193.0	433.23	4612.5	74784.0	11.77	29910.0	13546.0	75284.0	100500.0	12.222999999999999	27798.0	36364.0	42945.0	35580.0	21102	39.384	4747.9	356.72	10742.0	2559.5	0.17906	79437.0	445.45	263.92	41773.0	32.594	520.6	1138.5	539.61	72.431	90.978	3608.9	11.91	6685.8	35584.0	30403.0	16.75	10980.0	5355.4	42096.0	6238.6	147.58	2.8656	2251.2	49.79600000000001	165.23	0.25944	1012.7	415.12	4489.8	518.33	177.0	448.62	657.31	58.398	881.85	1343.1	508.83	1573.1	1532.4	208.69	1569.0	7971.9	361.7	543.23	109.1	820.73	11185.0	38.479	0.12025999999999999	3.5444	338.62	51200.0	7662.7	13154.0	0.25465	406.07	256.46	0.047972	9.9593	2056.6	1199.2	334.54	363.97	757.81	82.84299999999999	0.32693	4002.7	181.98	0.39219	0.035664999999999995	3052.0	102.31	1088.7	3712.7	0.9054	908.1	0.37501	435.49	789.5	205.34	73.789	0.29754	0.25315	0.037218	0.40667	42.982	269.81	1686.7	0.15138	3230.9	6902.7	132.19	0.091126	0.36646999999999996	0.31579	0.36507	575.37	10.865	0	8412.4	1334.1	0.034378	0.38079	0.2195	94.613	202.35	0.25908000000000003	754.64	0.038374	16.75	36.215	3376.6	1056.1	0.028455	0.26229	49.343999999999994	0.16909000000000002	3.1879	107.29	4018.1	1275.3	34.857	1545.0	338.16	319.6	11.317	165.23	0	985.97	57.492	126.75	0.11350999999999999	-1	0	0	-1	0	0
TCGA-LK-A4O0	MESO_2	140.36	106430.0	960.06	22881.0	27961.0	408.9	14053.0	17957.0	1849.4	15998.0	567.52	1165.1	6.4663	2085.2	1265.5	89725.0	118430.0	21874.0	3489.2	100530.0	32642	11366.0	44813.0	1163.2	60.479	177900.0	313.81	20873.0	1179.5	34389.0	59319.0	624.19	3639.0	17220.0	20932.0	56201.0	19062	1190.6	7.6075	161.66	1274.6	4119.1	0.028779000000000002	163080.0	6518.1	103.84	57716.0	233.17	31.191	1014.5	844.05	104.98	959.65	62.001000000000005	8.0113	38.798	10125.0	3782.8	1.5215	62.761	2626.0	1986.7	144.02	909.47	0.0	7208.1	164.32	585.39	0.11139	7488.0	0.7607	46.786	1089.0	518.45	35.375	126.28	1572.1	2654.2	259.03	796.5	2333.2	996.58	271.59	533.66	518.45	563.71	1735.6	2.6626	352.23	2208.8	17.878	0.023625	6.8992	939.9	12.933	72.271	1601.9	0.28226	324.08	593.03	0.043599	3.043	3933.1	1771.4	314.19	791.17	55.534	470.64	0.067701	1243.4	889.69	0.099202	0.046305	110.31	931.15	2825.4	1835.0	1073.8	212.63	0.023165	581.59	1026.6	1.7459	134.27	0.25668	0.029131999999999998	0.039215	0.058921	18.852999999999998	341.95	108.03	0.18106	1434.4	1870.7	41.08	0.11771	0.29567	0.033609	0.24463000000000001	44.88399999999999	85.584	-1	2951.3	507.8	0.062753	0.018923	0.039361	16.736	3136.9	0.074014	266.26	0.029182	560.67	28.148000000000003	3039.9	429.44	0.02059	0.084449	92.811	0.32172	1.3357	1.1411	65.805	344.83	27.767	131.61	746.29	112.21	2.6626	75.694	1	798.78	22.441999999999997	0.3804	0.09021699999999999	1	-1	-1	-1	-1	1
TCGA-LK-A4O2	MESO_2	11632.0	49831.0	445.55	10317.0	78104.0	14469.0	59052.0	13982.0	21143.0	52142.0	7475.8	517.23	4.0639	2198.6	13.669	51087.0	131480.0	23459.0	10712.0	45918.0	22013	22451.0	46157.0	1262.0	1289.7	175130.0	104.18	12194.0	505.03	28065.0	46375.0	691.6	16647.0	18446.0	23019.0	74202.0	41416	351.71	1363.6	333.98	5349.6	4721.9	0.040205	86407.0	3100.4	138.17	46192.0	28.816999999999997	229.06	1183.7	718.21	90.514	438.83	697.15	8.2005	1001.2	13191.0	33917.0	504.3	42.486000000000004	4470.5	9072.1	2021.5	675.72	130.24	7042.4	145.56	624.74	0.5644399999999999	3013.9	6.2806	7994.1	1298.6	468.09	266.37	521.29	569.69	2241.4	5629.6	299.99	2900.2	1211.8	499.49	920.29	4205.4	436.69	540.13	7.3889	265.26	6563.2	56.156000000000006	0.10048	1.9386	431.14	9.9751	970.91	8844.5	0.1287	604.78	285.11	0.33394	7.3889	1923.3	1656.2	297.4	896.28	246.05	216.13	0.23856	511.31	188.42	0.38852	0.037727	595.16	149.26	2149.1	1741.2	255.66	270.81	0.27193	749.98	1139.7	43.828	314.4	0.40049	0.17545999999999998	0.043793	0.3386	19.892	442.23	1238.8	0.35775999999999997	1119.8	8494.7	58.003	0.15316	0.25436	0.17195	0.07887000000000001	31.772	16.995	0	4901.4	471.05	0.019719999999999998	0.1682	0.25749	57.263999999999996	288.54	0.069965	457.75	0.01853	191.37	12.192	2825.5	148.89	0.029379000000000002	0.36667	85.34200000000001	0.32635	1.0105	35.097	285.21	230.63	38.792	854.9	712.29	254.55	98.64200000000001	77.214	0	2465.3	27.339000000000002	19.211	0.11489	-1	0	-1	-1	0	-1
TCGA-LK-A4O5	MESO_1	48759.0	36797.0	804.03	8193.7	68180.0	14036.0	65734.0	19772.0	21967.0	14664.0	6952.8	2066.5	5.5541	8380.2	90.17299999999999	71312.0	96413.0	22836.0	6882.9	42210.0	15754	10868.0	82585.0	1002.7	1357.2	137440.0	118.92	21740.0	367.55	77758.0	44308.0	159.11	11536.0	37262.0	59816.0	71825.0	37940	159.76	1983.5	230.01	7442.6	2853.5	0.22476999999999997	116620.0	1040.6	49.007	57947.0	66.976	381.28	588.09	337.5	85.59899999999999	316.81	2344.2	11.600999999999999	3114.2	68149.0	13052.0	33.652	503.14	4775.8	13285.0	3116.1	434.86	3.6919	4161.0	345.66	305.15	0.5687	2138.3	7.5144	1630.0	689.37	223.15	394.02	389.44	163.36	1260.1	4636.7	499.55	884.09	1000.7	162.05	692.96	6089.6	390.42	915.78	26.791	350.56	11731.0	103.24	0.126	6.2957	282.61	39.532	6158.2	8462.9	0.45456	444.33	368.18	0.10619	9.148	1754.8	1814.9	197.01	562.27	517.84	126.71	0.26014	2670.9	342.72	0.22489	0.023899	5449.9	142.77	1562.7	2835.4	13.069	538.75	0.35144000000000003	530.58	1107.6	52.486999999999995	159.11	0.37101	0.041447000000000005	0.040473	0.39833	34.896	279.99	902.38	0.26937	1821.1	7107.7	131.01	0.10494	0.35568	0.17149	0.13154000000000002	157.8	12.088	0	40170.0	347.3	0.21736	0.028436000000000003	0.64002	195.05	420.15	0.15057	503.14	0.018817	95.40100000000001	34.632	2652.9	938.65	0.023127	0.14792	100.3	0.11414	1.5685	100.3	2219.4	342.07	30.695	848.15	374.09	116.96	106.18	103.57	0	889.64	33.978	228.37	0.11817000000000001	-1	-1	0	0	0	1
TCGA-LK-A4O6	MESO_4	5222.8	313010.0	11857.0	34249.0	43919.0	9235.2	127470.0	43581.0	11470.0	45988.0	15206.0	19572.0	7.0599	2911.1	3746.5	89224.0	70278.0	21318.0	1193.9	8787.3	40595	19566.0	32810.0	295.73	941.33	148260.0	27.455	61522.0	6446.5	26057.0	149960.0	311.42	7562.8	14021.0	17435.0	31153.0	17170	31.378	1347.7	11862.0	964.86	4613.3	0.023991	114280.0	3305.6	589.9	69890.0	61.18600000000001	214.94	554.6	382.02	18.826	60.943000000000005	1762.6	17.854	2887.5	20687.0	25804.0	68.24600000000001	930.34	3167.6	4733.3	1969.4	385.94	5.3656	3745.7	71.384	435.36	0.09300499999999999	7275.7	30.593000000000004	1974.4	367.12	181.21	778.95	403.2	107.47	765.61	5079.2	393.0	1095.9	1282.6	128.65	533.42	3250.7	313.77	580.48	10.198	248.67	6410.4	13.335	0.03612	1.8284	706.78	50.20399999999999	4960.8	10421.0	0.024604	447.91	521.12	0.074789	24.318	1579.1	1820.7	318.48	582.05	49.42	164.73	0.18059	4542.7	326.33	0.055959	0.026805000000000002	2678.8	200.82	2530.6	1135.9	7.8444	229.84	0.090834	1128.0	354.57	17.163	102.76	0.12361	0.086631	0.029879000000000003	0.37861	20.764	300.44	646.38	0.072267	773.46	3968.5	674.62	0.092787	0.09935	0.24836999999999998	0.093212	369.47	21.964000000000002	-1	248650.0	596.17	0.014513999999999999	0.026400999999999997	0.049231	232.98	148.26	0.098152	917.01	0.045466	44.713	37.653	2437.2	1406.5	0.031636000000000004	0.18223	118.45	0.025788	0.8357100000000001	17.258	1387.7	155.77	165.52	743.65	1000.9	132.57	70.59899999999999	349.86	0	218.86	83.15	21.964000000000002	0.10605	-1	0	0	0	0	-1
TCGA-LK-A4O7	MESO_1	27683.0	80960.0	12562.0	4650.6	44928.0	10347.0	139240.0	17974.0	47396.0	10816.0	8313.2	1582.5	22.433000000000003	437.24	1005.0	69069.0	46089.0	28445.0	4116.6	45760.0	20171	14769.0	77067.0	239.42	1881.5	101600.0	42.827	36212.0	617.93	28127.0	113070.0	34.669000000000004	8140.7	13118.0	18220.0	55320.0	24840	80.351	727.64	1437.8	6751.1	1040.5	0.15858	121880.0	955.64	206.38	94846.0	264.3	316.92	196.59	129.29	9.3811	137.0	474.36	24.795	3391.5	41119.0	19114.0	1686.1	184.36	4362.8	23282.0	4501.8	454.37	1.2236	2806.6	218.62	137.04	0.048538	1140.8	121.55	2869.4	132.97	63.628	317.73	603.65	102.38	1402.7	6382.8	142.75	364.23	884.67	40.787	830.43	7136.5	102.38	1492.0	20.394000000000002	451.11	13888.0	24.471999999999998	0.025887999999999998	2.5134	363.41	51.8	661.57	5634.5	0.39707	514.33	343.99	0.1364	13.868	942.18	1939.8	110.12	232.49	405.83	100.34	0.38429	4480.9	314.47	0.08984500000000001	0.01832	2996.6	158.66	1575.2	1022.9	4.0787	451.11	0.31463	1105.3	297.34	24.561999999999998	26.104	0.24439	0.061280999999999995	0.032003	0.43993999999999994	24.776999999999997	97.889	599.16	0.14593	543.28	7303.8	50.576	0.061832000000000005	0.35527	0.057086000000000005	0.16480999999999998	550.63	49.352	-1	4922.6	427.86	0.16219	0.023497999999999998	0.027469	93.811	581.62	0.32458000000000004	1557.3	0.021737	29.775	7.7496	2689.5	1244.8	0.020092	0.089525	97.073	0.48327	3.4656	141.53	794.13	983.89	76.68	930.36	386.66	190.88	73.825	267.97	0	33.038000000000004	106.05	30.59	0.40116999999999997	-1	-1	0	0	0	-1
TCGA-MQ-A4KX	MESO_3	91.77600000000001	52026.0	1744.8	12976.0	60094.0	13136.0	260570.0	38444.0	23701.0	199350.0	13602.0	16830.0	72.814	272.3	26.168000000000003	46742.0	33125.0	51952.0	3957.8	29634.0	11535	14104.0	96312.0	912.07	2728.6	100650.0	16.687	38651.0	14968.0	93004.0	40368.0	49.681000000000004	42812.0	59707.0	76419.0	68655.0	24254	70.15899999999999	2072.2	945.07	21705.0	3790.1	0.035268	58607.0	447.88	1322.8	41344.0	46.266999999999996	418.3	1343.3	501.74	133.49	111.64	388.72	20.201	4832.3	23335.0	77687.0	6073.2	6416.8	4935.2	29100.0	2038.9	145.63	3.4776	1908.7	76.227	163.45	0.079165	4072.7	17.445	6733.0	895.01	188.86	8870.0	534.35	91.397	1135.1	2369.9	244.61	1465.0	2877.7	243.47	2974.0	8253.8	760.76	646.98	66.74600000000001	1195.4	11849.0	36.786	0.18252000000000002	4.7729	204.41	11708.0	9440.4	8367.8	0.048455	409.2	169.08	0.21827	5.3094	2413.5	1041.0	173.31	825.61	530.18	86.088	0.24523000000000003	5384.8	206.31	0.11062999999999999	0.035025	5942.3	89.88	1300.0	6266.7	1.1377	733.83	0.024812999999999998	912.45	1345.5	123.2	83.43299999999999	0.044302	0.29069	0.10275	0.29715	80.277	403.89	8005.4	0.067773	7707.3	9559.5	4.1716	0.066464	0.056359000000000006	0.2143	0.089171	950.0	4.1716	0	486490.0	686.42	0.017805	0.40113000000000004	0.057086000000000005	111.5	27.305	0.04464	1143.8	0.027029	19.340999999999998	66.74600000000001	2588.7	301.5	0.032718000000000004	0.20252	50.818000000000005	0.020903	5.571000000000001	1926.9	3729.4	3630.5	58.403	2375.9	253.71	712.59	6.8263	195.69	0	2319.4	63.711999999999996	104.29	0.08025	-1	0	0	-1	0	0
TCGA-MQ-A4LC	MESO_3	1469.4	26808.0	557.24	10189.0	66389.0	12448.0	272320.0	42664.0	12490.0	97171.0	8372.1	14071.0	91.348	193.46	5.9413	52661.0	33884.0	65398.0	5687.3	47414.0	19117	9943.9	83619.0	540.66	7056.4	90732.0	13.368	15358.0	3293.3	64500.0	61084.0	55.32899999999999	41258.0	45076.0	55826.0	59616.0	34318	77.98	1914.2	510.21	17650.0	1951.4	0.33261999999999997	105360.0	407.35	5364.3	58249.0	24.136999999999997	334.2	536.21	222.06	65.355	128.76	1296.0	14.794	3938.0	27339.0	83663.0	2225.4	68171.0	4990.2	53437.0	1975.8	96.175	9.0939	1037.9	175.64	108.8	0.62937	3515.4	65.726	10156.0	513.55	49.016000000000005	6072.8	634.61	210.55	896.77	12696.0	137.76	943.93	3934.3	124.77	1803.2	5408.1	288.53	2564.8	19.680999999999997	1107.7	13532.0	37.876	0.22988000000000003	9.9015	224.28	98.40299999999999	5630.1	5445.5	0.34825	495.73	117.63	0.3257	10.397	2585.6	1008.5	116.6	413.29	360.56	61.27	0.23740999999999998	10670.0	199.03	0.17683	0.049316000000000006	3679.1	68.325	1008.9	5560.9	0.0	725.21	0.0408	1004.8	588.56	128.35	83.55	0.32406	0.32526	0.08734299999999999	0.27956	86.81299999999999	200.89	7075.8	0.25805	4713.7	10398.0	4.8273	0.11562	0.048148	0.13205	0.066206	578.17	5.1987	0	1129600.0	737.1	0.020258	0.06537000000000001	0.22996999999999998	85.035	15.967	0.085699	1216.1	0.09794800000000001	22.651	20.423	1812.8	333.09	0.34323000000000004	0.42732	28.964000000000002	0.049762	6.8461	1513.9	5750.1	2274.2	34.163000000000004	5560.0	271.07	625.7	17.081	154.1	0	1134.8	45.674	148.91	0.10685	-1	0	0	-1	0	0
