human_gene_symbol	gs_name
ABCE1	MYC_TARGETS_V1
ABCF2	MTORC1_SIGNALING
ABCG2	HEME_METABOLISM
ABCG4	BILE_ACID_METABOLISM
ABCG4	KRAS_SIGNALING_DN
ABCG8	BILE_ACID_METABOLISM
ABHD2	ANDROGEN_RESPONSE
ABHD2	ESTROGEN_RESPONSE_EARLY
ABHD2	ESTROGEN_RESPONSE_LATE
ABHD4	P53_PATHWAY
ABHD6	XENOBIOTIC_METABOLISM
ABI1	ALLOGRAFT_REJECTION
ABI1	INFLAMMATORY_RESPONSE
ABI1	MITOTIC_SPINDLE
ABI3BP	EPITHELIAL_MESENCHYMAL_TRANSITION
ABL1	G2M_CHECKPOINT
ABL1	MITOTIC_SPINDLE
ABLIM1	ESTROGEN_RESPONSE_EARLY
ABLIM1	MYOGENESIS
ABR	MITOTIC_SPINDLE
ACAA1	FATTY_ACID_METABOLISM
ACAA1	OXIDATIVE_PHOSPHORYLATION
ACAA1	PEROXISOME
ACAA1	UV_RESPONSE_UP
ACAA2	ADIPOGENESIS
ACAA2	FATTY_ACID_METABOLISM
ACAA2	OXIDATIVE_PHOSPHORYLATION
ACACA	MTORC1_SIGNALING
ACACA	PI3K_AKT_MTOR_SIGNALING
ACADL	ADIPOGENESIS
ACADL	FATTY_ACID_METABOLISM
ACADM	ADIPOGENESIS
ACADM	FATTY_ACID_METABOLISM
ACADM	OXIDATIVE_PHOSPHORYLATION
ACADS	ADIPOGENESIS
ACADS	FATTY_ACID_METABOLISM
ACADSB	OXIDATIVE_PHOSPHORYLATION
ACADVL	FATTY_ACID_METABOLISM
ACADVL	OXIDATIVE_PHOSPHORYLATION
ACAT1	OXIDATIVE_PHOSPHORYLATION
ACAT2	CHOLESTEROL_HOMEOSTASIS
ACAT2	FATTY_ACID_METABOLISM
ACE	KRAS_SIGNALING_UP
ACE	SPERMATOGENESIS
ACHE	ALLOGRAFT_REJECTION
ACHE	HEDGEHOG_SIGNALING
ACHE	MYOGENESIS
ACKR1	HEME_METABOLISM
ACKR3	HYPOXIA
ACKR3	TNFA_SIGNALING_VIA_NFKB
ACLY	ADIPOGENESIS
ACLY	MTORC1_SIGNALING
ACO2	ADIPOGENESIS
ACO2	FATTY_ACID_METABOLISM
ACO2	OXIDATIVE_PHOSPHORYLATION
ACO2	XENOBIOTIC_METABOLISM
ACOT2	FATTY_ACID_METABOLISM
ACOT8	FATTY_ACID_METABOLISM
ACOT8	PEROXISOME
ACOX1	ADIPOGENESIS
ACOX1	FATTY_ACID_METABOLISM
ACOX1	PEROXISOME
ACOX1	XENOBIOTIC_METABOLISM
ACOX2	COAGULATION
ACOX2	ESTROGEN_RESPONSE_LATE
ACOX2	XENOBIOTIC_METABOLISM
ACOX3	XENOBIOTIC_METABOLISM
ACP1	MYC_TARGETS_V1
ACP1	XENOBIOTIC_METABOLISM
ACP2	XENOBIOTIC_METABOLISM
ACP5	HEME_METABOLISM
ACRBP	SPERMATOGENESIS
ACRV1	SPERMATOGENESIS
ACSL1	BILE_ACID_METABOLISM
ACSL1	FATTY_ACID_METABOLISM
ACSL1	MYOGENESIS
ACSL1	PEROXISOME
ACSL3	ANDROGEN_RESPONSE
ACSL3	MTORC1_SIGNALING
ACSL4	FATTY_ACID_METABOLISM
ACSL4	PEROXISOME
ACSL5	BILE_ACID_METABOLISM
ACSL5	FATTY_ACID_METABOLISM
ACSL5	PEROXISOME
ACSL6	HEME_METABOLISM
ACSM1	XENOBIOTIC_METABOLISM
ACSM3	FATTY_ACID_METABOLISM
ACSS1	FATTY_ACID_METABOLISM
ACSS2	CHOLESTEROL_HOMEOSTASIS
ACTA1	APICAL_JUNCTION
ACTA1	MYOGENESIS
ACTA2	EPITHELIAL_MESENCHYMAL_TRANSITION
ACTB	APICAL_JUNCTION
ACTC1	APICAL_JUNCTION
ACTC1	KRAS_SIGNALING_DN
ACTC1	MYOGENESIS
ACTG1	APICAL_JUNCTION
ACTG1	CHOLESTEROL_HOMEOSTASIS
ACTG2	APICAL_JUNCTION
ACTL7B	SPERMATOGENESIS
ACTN1	ANDROGEN_RESPONSE
ACTN1	APICAL_JUNCTION
ACTN2	APICAL_JUNCTION
ACTN2	COMPLEMENT
ACTN2	MYOGENESIS
ACTN3	APICAL_JUNCTION
ACTN3	MYOGENESIS
ACTN4	APICAL_JUNCTION
ACTN4	MITOTIC_SPINDLE
ACTR2	MTORC1_SIGNALING
ACTR2	PI3K_AKT_MTOR_SIGNALING
ACTR3	MTORC1_SIGNALING
ACTR3	PI3K_AKT_MTOR_SIGNALING
ACVR1	TGF_BETA_SIGNALING
ACVR1B	IL6_JAK_STAT3_SIGNALING
ACVR1B	INFLAMMATORY_RESPONSE
ACVR1B	P53_PATHWAY
ACVR2A	ALLOGRAFT_REJECTION
ACVR2A	INFLAMMATORY_RESPONSE
ACVR2A	UV_RESPONSE_DN
ACVRL1	IL6_JAK_STAT3_SIGNALING
ADA	DNA_REPAIR
ADA	P53_PATHWAY
ADAD1	SPERMATOGENESIS
ADAM10	APICAL_SURFACE
ADAM10	PROTEIN_SECRETION
ADAM12	EPITHELIAL_MESENCHYMAL_TRANSITION
ADAM12	MYOGENESIS
ADAM15	APICAL_JUNCTION
ADAM17	KRAS_SIGNALING_UP
ADAM17	WNT_BETA_CATENIN_SIGNALING
ADAM19	IL2_STAT5_SIGNALING
ADAM2	SPERMATOGENESIS
ADAM23	APICAL_JUNCTION
ADAM8	KRAS_SIGNALING_UP
ADAM9	APICAL_JUNCTION
ADAM9	COAGULATION
ADAM9	COMPLEMENT
ADAMDEC1	KRAS_SIGNALING_UP
ADAMTS1	ANDROGEN_RESPONSE
ADAMTS5	APICAL_JUNCTION
ADAR	INTERFERON_ALPHA_RESPONSE
ADAR	INTERFERON_GAMMA_RESPONSE
ADCY1	ESTROGEN_RESPONSE_EARLY
ADCY2	PI3K_AKT_MTOR_SIGNALING
ADCY6	ADIPOGENESIS
ADCY6	DNA_REPAIR
ADCY9	ESTROGEN_RESPONSE_EARLY
ADCY9	MYOGENESIS
ADCYAP1	SPERMATOGENESIS
ADD1	APOPTOSIS
ADD1	HEME_METABOLISM
ADD2	HEME_METABOLISM
ADD3	ESTROGEN_RESPONSE_EARLY
ADD3	ESTROGEN_RESPONSE_LATE
ADD3	MTORC1_SIGNALING
ADD3	UV_RESPONSE_DN
ADGRA2	KRAS_SIGNALING_UP
ADGRE1	INFLAMMATORY_RESPONSE
ADGRG1	HEDGEHOG_SIGNALING
ADGRL2	UV_RESPONSE_DN
ADGRL4	KRAS_SIGNALING_UP
ADH1C	FATTY_ACID_METABOLISM
ADH1C	XENOBIOTIC_METABOLISM
ADH4	CHOLESTEROL_HOMEOSTASIS
ADH5	XENOBIOTIC_METABOLISM
ADH7	FATTY_ACID_METABOLISM
ADH7	XENOBIOTIC_METABOLISM
ADIG	ADIPOGENESIS
ADIPOQ	ADIPOGENESIS
ADIPOR1	HEME_METABOLISM
ADIPOR2	ADIPOGENESIS
ADIPOR2	APICAL_SURFACE
ADIPOR2	FATTY_ACID_METABOLISM
ADIPOR2	MTORC1_SIGNALING
ADM	HYPOXIA
ADM	INFLAMMATORY_RESPONSE
ADORA2B	GLYCOLYSIS
ADORA2B	HYPOXIA
ADORA2B	INFLAMMATORY_RESPONSE
ADORA2B	UV_RESPONSE_DN
ADRA1B	APICAL_JUNCTION
ADRA2B	COMPLEMENT
ADRA2C	KRAS_SIGNALING_DN
ADRM1	ANDROGEN_RESPONSE
ADRM1	DNA_REPAIR
ADRM1	INFLAMMATORY_RESPONSE
ADSL	FATTY_ACID_METABOLISM
AEBP1	MYOGENESIS
AEN	P53_PATHWAY
AFAP1L2	APICAL_SURFACE
AFF1	ESTROGEN_RESPONSE_EARLY
AFF1	ESTROGEN_RESPONSE_LATE
AFG3L2	OXIDATIVE_PHOSPHORYLATION
AGER	IL2_STAT5_SIGNALING
AGFG1	SPERMATOGENESIS
AGGF1	UV_RESPONSE_DN
AGL	GLYCOLYSIS
AGL	MYOGENESIS
AGO2	UV_RESPONSE_UP
AGO4	DNA_REPAIR
AGPAT3	ADIPOGENESIS
AGPAT4	HEME_METABOLISM
AGR2	ESTROGEN_RESPONSE_LATE
AGRN	GLYCOLYSIS
AGRN	MYOGENESIS
AGXT	BILE_ACID_METABOLISM
AHCY	IL2_STAT5_SIGNALING
AHCY	XENOBIOTIC_METABOLISM
AHNAK	IL2_STAT5_SIGNALING
AHR	IL2_STAT5_SIGNALING
AHR	INFLAMMATORY_RESPONSE
AHSP	HEME_METABOLISM
AIFM1	ADIPOGENESIS
AIFM1	OXIDATIVE_PHOSPHORYLATION
AIFM3	APOPTOSIS
AIMP2	MYC_TARGETS_V1
AIMP2	MYC_TARGETS_V2
AK1	DNA_REPAIR
AK1	MYOGENESIS
AK1	P53_PATHWAY
AK2	ADIPOGENESIS
AK2	E2F_TARGETS
AK3	DNA_REPAIR
AK3	GLYCOLYSIS
AK4	GLYCOLYSIS
AK4	HYPOXIA
AK4	MTORC1_SIGNALING
AKAP1	ESTROGEN_RESPONSE_EARLY
AKAP10	COMPLEMENT
AKAP12	ANDROGEN_RESPONSE
AKAP12	HYPOXIA
AKAP12	KRAS_SIGNALING_UP
AKAP13	MITOTIC_SPINDLE
AKAP4	SPERMATOGENESIS
AKAP7	APICAL_SURFACE
AKR1A1	GLYCOLYSIS
AKR1B10	KRAS_SIGNALING_DN
AKR1C2	XENOBIOTIC_METABOLISM
AKR1C3	XENOBIOTIC_METABOLISM
AKR1D1	BILE_ACID_METABOLISM
AKT1	ALLOGRAFT_REJECTION
AKT1	ANDROGEN_RESPONSE
AKT1	PI3K_AKT_MTOR_SIGNALING
AKT1S1	PI3K_AKT_MTOR_SIGNALING
AKT2	APICAL_JUNCTION
AKT2	KRAS_SIGNALING_UP
AKT2	MYOGENESIS
AKT3	APICAL_JUNCTION
AKT3	PANCREAS_BETA_CELLS
AKT3	UV_RESPONSE_DN
ALAD	FATTY_ACID_METABOLISM
ALAD	HEME_METABOLISM
ALAS1	OXIDATIVE_PHOSPHORYLATION
ALAS1	UV_RESPONSE_UP
ALAS1	XENOBIOTIC_METABOLISM
ALAS2	HEME_METABOLISM
ALB	PEROXISOME
ALCAM	CHOLESTEROL_HOMEOSTASIS
ALCAM	IL2_STAT5_SIGNALING
ALDH18A1	UNFOLDED_PROTEIN_RESPONSE
ALDH1A1	BILE_ACID_METABOLISM
ALDH1A1	FATTY_ACID_METABOLISM
ALDH1A1	PEROXISOME
ALDH1A2	KRAS_SIGNALING_UP
ALDH1A3	ANDROGEN_RESPONSE
ALDH1A3	KRAS_SIGNALING_UP
ALDH1L1	HEME_METABOLISM
ALDH2	ADIPOGENESIS
ALDH2	XENOBIOTIC_METABOLISM
ALDH3A1	FATTY_ACID_METABOLISM
ALDH3A1	XENOBIOTIC_METABOLISM
ALDH3A2	ESTROGEN_RESPONSE_LATE
ALDH3A2	FATTY_ACID_METABOLISM
ALDH3B1	ESTROGEN_RESPONSE_EARLY
ALDH3B1	ESTROGEN_RESPONSE_LATE
ALDH6A1	HEME_METABOLISM
ALDH6A1	OXIDATIVE_PHOSPHORYLATION
ALDH7A1	GLYCOLYSIS
ALDH8A1	BILE_ACID_METABOLISM
ALDH9A1	BILE_ACID_METABOLISM
ALDH9A1	FATTY_ACID_METABOLISM
ALDH9A1	GLYCOLYSIS
ALDH9A1	PEROXISOME
ALDH9A1	XENOBIOTIC_METABOLISM
ALDOA	ADIPOGENESIS
ALDOA	FATTY_ACID_METABOLISM
ALDOA	GLYCOLYSIS
ALDOA	HYPOXIA
ALDOA	MTORC1_SIGNALING
ALDOA	UV_RESPONSE_UP
ALDOB	GLYCOLYSIS
ALDOB	HYPOXIA
ALDOC	CHOLESTEROL_HOMEOSTASIS
ALDOC	HYPOXIA
ALG1	GLYCOLYSIS
ALMS1	MITOTIC_SPINDLE
ALOX12B	KRAS_SIGNALING_DN
ALOX15	SPERMATOGENESIS
ALOX15B	APICAL_JUNCTION
ALOX15B	P53_PATHWAY
ALS2	MITOTIC_SPINDLE
ALYREF	DNA_REPAIR
AMACR	BILE_ACID_METABOLISM
AMACR	IL2_STAT5_SIGNALING
AMBN	KRAS_SIGNALING_DN
AMD1	G2M_CHECKPOINT
AMD1	UV_RESPONSE_UP
AMFR	ESTROGEN_RESPONSE_EARLY
AMFR	ESTROGEN_RESPONSE_LATE
AMH	APICAL_JUNCTION
AMIGO1	APICAL_JUNCTION
AMIGO2	APICAL_JUNCTION
AMMECR1	KRAS_SIGNALING_UP
AMOT	HEDGEHOG_SIGNALING
AMPD3	HYPOXIA
AMPH	UV_RESPONSE_DN
ANG	COAGULATION
ANG	COMPLEMENT
ANG	GLYCOLYSIS
ANGPT1	ADIPOGENESIS
ANGPTL3	XENOBIOTIC_METABOLISM
ANGPTL4	ADIPOGENESIS
ANGPTL4	GLYCOLYSIS
ANGPTL4	HYPOXIA
ANGPTL4	KRAS_SIGNALING_UP
ANK1	HEME_METABOLISM
ANKH	ANDROGEN_RESPONSE
ANKH	APOPTOSIS
ANKH	KRAS_SIGNALING_UP
ANKRA2	P53_PATHWAY
ANKRD2	MYOGENESIS
ANKZF1	GLYCOLYSIS
ANKZF1	HYPOXIA
ANLN	MITOTIC_SPINDLE
ANO1	KRAS_SIGNALING_UP
ANP32E	E2F_TARGETS
ANP32E	PROTEIN_SECRETION
ANPEP	EPITHELIAL_MESENCHYMAL_TRANSITION
ANTXR2	CHOLESTEROL_HOMEOSTASIS
ANXA1	APOPTOSIS
ANXA1	COAGULATION
ANXA10	KRAS_SIGNALING_UP
ANXA13	CHOLESTEROL_HOMEOSTASIS
ANXA2	HYPOXIA
ANXA2	UV_RESPONSE_DN
ANXA4	IL2_STAT5_SIGNALING
ANXA4	UV_RESPONSE_DN
ANXA5	CHOLESTEROL_HOMEOSTASIS
ANXA5	COMPLEMENT
ANXA9	ESTROGEN_RESPONSE_EARLY
ANXA9	ESTROGEN_RESPONSE_LATE
AOC3	FATTY_ACID_METABOLISM
AOX1	XENOBIOTIC_METABOLISM
AP1G1	PROTEIN_SECRETION
AP2B1	PROTEIN_SECRETION
AP2M1	PI3K_AKT_MTOR_SIGNALING
AP2M1	PROTEIN_SECRETION
AP2S1	PROTEIN_SECRETION
AP2S1	UV_RESPONSE_UP
AP3B1	PROTEIN_SECRETION
AP3S1	MYC_TARGETS_V1
AP3S1	PROTEIN_SECRETION
AP4B1	XENOBIOTIC_METABOLISM
APAF1	P53_PATHWAY
APBB1	ALLOGRAFT_REJECTION
APBB2	UV_RESPONSE_DN
APC	MITOTIC_SPINDLE
APC	TGF_BETA_SIGNALING
APEX1	FATTY_ACID_METABOLISM
APEX1	MYC_TARGETS_V1
APH1A	NOTCH_SIGNALING
APLNR	INFLAMMATORY_RESPONSE
APLNR	MYOGENESIS
APLP1	EPITHELIAL_MESENCHYMAL_TRANSITION
APLP1	IL2_STAT5_SIGNALING
APLP2	ADIPOGENESIS
APOA1	BILE_ACID_METABOLISM
APOA1	COAGULATION
APOA4	COMPLEMENT
APOBEC3F	COMPLEMENT
APOBEC3G	COMPLEMENT
APOC1	COAGULATION
APOC1	COMPLEMENT
APOC2	COAGULATION
APOC3	COAGULATION
APOD	KRAS_SIGNALING_UP
APOD	MYOGENESIS
APOE	ADIPOGENESIS
APOE	XENOBIOTIC_METABOLISM
APOH	ANGIOGENESIS
APOL6	INTERFERON_GAMMA_RESPONSE
APOM	UV_RESPONSE_UP
APP	ANGIOGENESIS
APP	APICAL_SURFACE
APP	APOPTOSIS
APP	MYOGENESIS
APP	P53_PATHWAY
APPBP2	ANDROGEN_RESPONSE
APRT	DNA_REPAIR
AQP3	ESTROGEN_RESPONSE_EARLY
AQP3	HEME_METABOLISM
AQP3	UV_RESPONSE_UP
AQP7	FATTY_ACID_METABOLISM
AQP9	BILE_ACID_METABOLISM
AQP9	INFLAMMATORY_RESPONSE
AQP9	XENOBIOTIC_METABOLISM
AR	BILE_ACID_METABOLISM
AR	ESTROGEN_RESPONSE_EARLY
ARAF	ADIPOGENESIS
ARAP3	MITOTIC_SPINDLE
ARCN1	PROTEIN_SECRETION
AREG	EPITHELIAL_MESENCHYMAL_TRANSITION
AREG	ESTROGEN_RESPONSE_EARLY
AREG	ESTROGEN_RESPONSE_LATE
AREG	TNFA_SIGNALING_VIA_NFKB
ARF1	PI3K_AKT_MTOR_SIGNALING
ARF1	PROTEIN_SECRETION
ARF4	COAGULATION
ARF6	MITOTIC_SPINDLE
ARFGAP1	UNFOLDED_PROTEIN_RESPONSE
ARFGAP3	PROTEIN_SECRETION
ARFGEF1	MITOTIC_SPINDLE
ARFGEF1	PROTEIN_SECRETION
ARFGEF2	PROTEIN_SECRETION
ARFIP1	PROTEIN_SECRETION
ARFIP2	MITOTIC_SPINDLE
ARG1	KRAS_SIGNALING_UP
ARG1	XENOBIOTIC_METABOLISM
ARG2	XENOBIOTIC_METABOLISM
ARHGAP10	MITOTIC_SPINDLE
ARHGAP27	MITOTIC_SPINDLE
ARHGAP29	MITOTIC_SPINDLE
ARHGAP4	MITOTIC_SPINDLE
ARHGAP5	MITOTIC_SPINDLE
ARHGDIA	MITOTIC_SPINDLE
ARHGDIA	PI3K_AKT_MTOR_SIGNALING
ARHGDIG	KRAS_SIGNALING_DN
ARHGEF11	MITOTIC_SPINDLE
ARHGEF12	HEME_METABOLISM
ARHGEF12	MITOTIC_SPINDLE
ARHGEF2	MITOTIC_SPINDLE
ARHGEF3	MITOTIC_SPINDLE
ARHGEF6	APICAL_JUNCTION
ARHGEF7	MITOTIC_SPINDLE
ARHGEF9	UV_RESPONSE_DN
ARID4A	G2M_CHECKPOINT
ARID4B	TGF_BETA_SIGNALING
ARID5B	ANDROGEN_RESPONSE
ARID5B	INTERFERON_GAMMA_RESPONSE
ARL2BP	HEME_METABOLISM
ARL3	ESTROGEN_RESPONSE_EARLY
ARL3	ESTROGEN_RESPONSE_LATE
ARL4A	ADIPOGENESIS
ARL4A	IL2_STAT5_SIGNALING
ARL4A	INTERFERON_GAMMA_RESPONSE
ARL4A	SPERMATOGENESIS
ARL6IP1	DNA_REPAIR
ARL8A	MITOTIC_SPINDLE
ARPC2	APICAL_JUNCTION
ARPC3	PI3K_AKT_MTOR_SIGNALING
ARPC5L	MTORC1_SIGNALING
ARPP19	GLYCOLYSIS
ARPP19	XENOBIOTIC_METABOLISM
ARPP21	KRAS_SIGNALING_DN
ARRB1	NOTCH_SIGNALING
ARRB2	UV_RESPONSE_UP
ART3	SPERMATOGENESIS
ARTN	GLYCOLYSIS
ASB13	ESTROGEN_RESPONSE_EARLY
ASB7	KRAS_SIGNALING_DN
ASCL1	ESTROGEN_RESPONSE_LATE
ASF1A	E2F_TARGETS
ASF1B	E2F_TARGETS
ASL	XENOBIOTIC_METABOLISM
ASNS	HEME_METABOLISM
ASNS	MTORC1_SIGNALING
ASNS	UNFOLDED_PROTEIN_RESPONSE
ASNS	UV_RESPONSE_UP
ASS1	ESTROGEN_RESPONSE_LATE
ATAD2	E2F_TARGETS
ATF1	PI3K_AKT_MTOR_SIGNALING
ATF3	APOPTOSIS
ATF3	CHOLESTEROL_HOMEOSTASIS
ATF3	HYPOXIA
ATF3	P53_PATHWAY
ATF3	TNFA_SIGNALING_VIA_NFKB
ATF3	UNFOLDED_PROTEIN_RESPONSE
ATF3	UV_RESPONSE_UP
ATF4	UNFOLDED_PROTEIN_RESPONSE
ATF5	CHOLESTEROL_HOMEOSTASIS
ATF5	G2M_CHECKPOINT
ATF6	UNFOLDED_PROTEIN_RESPONSE
ATG10	KRAS_SIGNALING_UP
ATG4A	HEME_METABOLISM
ATG4B	MITOTIC_SPINDLE
ATL2	ADIPOGENESIS
ATOH8	XENOBIOTIC_METABOLISM
ATOX1	COMPLEMENT
ATOX1	REACTIVE_OXYGEN_SPECIES_PATHWAY
ATP1A1	PROTEIN_SECRETION
ATP1A3	APICAL_JUNCTION
ATP1B1	OXIDATIVE_PHOSPHORYLATION
ATP1B3	ADIPOGENESIS
ATP2A1	MYOGENESIS
ATP2A2	INFLAMMATORY_RESPONSE
ATP2A2	MTORC1_SIGNALING
ATP2A2	XENOBIOTIC_METABOLISM
ATP2B1	INFLAMMATORY_RESPONSE
ATP2B1	TNFA_SIGNALING_VIA_NFKB
ATP2B1	UV_RESPONSE_DN
ATP2B4	ESTROGEN_RESPONSE_LATE
ATP2B4	UV_RESPONSE_DN
ATP2C1	INFLAMMATORY_RESPONSE
ATP2C1	UV_RESPONSE_DN
ATP4A	KRAS_SIGNALING_DN
ATP5F1A	OXIDATIVE_PHOSPHORYLATION
ATP5F1B	OXIDATIVE_PHOSPHORYLATION
ATP5F1C	OXIDATIVE_PHOSPHORYLATION
ATP5F1D	OXIDATIVE_PHOSPHORYLATION
ATP5F1E	OXIDATIVE_PHOSPHORYLATION
ATP5MC1	MTORC1_SIGNALING
ATP5MC1	OXIDATIVE_PHOSPHORYLATION
ATP5MC2	OXIDATIVE_PHOSPHORYLATION
ATP5MC3	OXIDATIVE_PHOSPHORYLATION
ATP5ME	OXIDATIVE_PHOSPHORYLATION
ATP5MF	OXIDATIVE_PHOSPHORYLATION
ATP5MG	OXIDATIVE_PHOSPHORYLATION
ATP5PB	OXIDATIVE_PHOSPHORYLATION
ATP5PD	OXIDATIVE_PHOSPHORYLATION
ATP5PF	OXIDATIVE_PHOSPHORYLATION
ATP5PO	ADIPOGENESIS
ATP5PO	OXIDATIVE_PHOSPHORYLATION
ATP6AP1	MYOGENESIS
ATP6AP1	OXIDATIVE_PHOSPHORYLATION
ATP6V0A1	HEME_METABOLISM
ATP6V0A4	APICAL_SURFACE
ATP6V0B	OXIDATIVE_PHOSPHORYLATION
ATP6V0C	OXIDATIVE_PHOSPHORYLATION
ATP6V0D1	UNFOLDED_PROTEIN_RESPONSE
ATP6V0E1	OXIDATIVE_PHOSPHORYLATION
ATP6V1B1	KRAS_SIGNALING_DN
ATP6V1B1	PROTEIN_SECRETION
ATP6V1C1	OXIDATIVE_PHOSPHORYLATION
ATP6V1C1	UV_RESPONSE_UP
ATP6V1D	MTORC1_SIGNALING
ATP6V1D	OXIDATIVE_PHOSPHORYLATION
ATP6V1E1	OXIDATIVE_PHOSPHORYLATION
ATP6V1F	OXIDATIVE_PHOSPHORYLATION
ATP6V1F	UV_RESPONSE_UP
ATP6V1G1	OXIDATIVE_PHOSPHORYLATION
ATP6V1H	OXIDATIVE_PHOSPHORYLATION
ATP6V1H	PROTEIN_SECRETION
ATP7A	HYPOXIA
ATP7A	PROTEIN_SECRETION
ATP8B1	APICAL_SURFACE
ATRN	UV_RESPONSE_DN
ATRX	G2M_CHECKPOINT
ATRX	UV_RESPONSE_DN
ATXN1	BILE_ACID_METABOLISM
ATXN1	PEROXISOME
ATXN1	UV_RESPONSE_DN
ATXN2	CHOLESTEROL_HOMEOSTASIS
AUH	FATTY_ACID_METABOLISM
AURKA	E2F_TARGETS
AURKA	G2M_CHECKPOINT
AURKA	GLYCOLYSIS
AURKA	MITOTIC_SPINDLE
AURKA	MTORC1_SIGNALING
AURKA	SPERMATOGENESIS
AURKB	E2F_TARGETS
AURKB	G2M_CHECKPOINT
AUTS2	INTERFERON_GAMMA_RESPONSE
AVL9	KRAS_SIGNALING_UP
AVPR1A	APOPTOSIS
AVPR1A	CHOLESTEROL_HOMEOSTASIS
AXIN1	WNT_BETA_CATENIN_SIGNALING
AXIN2	WNT_BETA_CATENIN_SIGNALING
AXL	INFLAMMATORY_RESPONSE
AZGP1	ANDROGEN_RESPONSE
B2M	ALLOGRAFT_REJECTION
B2M	ANDROGEN_RESPONSE
B2M	INTERFERON_ALPHA_RESPONSE
B2M	INTERFERON_GAMMA_RESPONSE
B3GALT6	GLYCOLYSIS
B3GALT6	HYPOXIA
B3GAT1	GLYCOLYSIS
B3GAT3	GLYCOLYSIS
B3GNT3	GLYCOLYSIS
B4GALNT2	HYPOXIA
B4GALT1	ANDROGEN_RESPONSE
B4GALT1	APICAL_JUNCTION
B4GALT1	APICAL_SURFACE
B4GALT1	ESTROGEN_RESPONSE_EARLY
B4GALT1	GLYCOLYSIS
B4GALT1	TNFA_SIGNALING_VIA_NFKB
B4GALT2	GLYCOLYSIS
B4GALT4	GLYCOLYSIS
B4GALT5	TNFA_SIGNALING_VIA_NFKB
B4GALT7	GLYCOLYSIS
BACH1	HEME_METABOLISM
BAG1	ESTROGEN_RESPONSE_EARLY
BAG1	ESTROGEN_RESPONSE_LATE
BAG1	MYOGENESIS
BAG3	UNFOLDED_PROTEIN_RESPONSE
BAIAP2	APICAL_JUNCTION
BAIAP2	P53_PATHWAY
BAK1	IL6_JAK_STAT3_SIGNALING
BAK1	P53_PATHWAY
BAK1	UV_RESPONSE_UP
BANF1	UNFOLDED_PROTEIN_RESPONSE
BANK1	INTERFERON_GAMMA_RESPONSE
BARD1	E2F_TARGETS
BARD1	G2M_CHECKPOINT
BARD1	KRAS_SIGNALING_DN
BASP1	EPITHELIAL_MESENCHYMAL_TRANSITION
BATF	ESTROGEN_RESPONSE_LATE
BATF	IL2_STAT5_SIGNALING
BATF2	INTERFERON_ALPHA_RESPONSE
BATF2	INTERFERON_GAMMA_RESPONSE
BATF3	IL2_STAT5_SIGNALING
BAX	APOPTOSIS
BAX	OXIDATIVE_PHOSPHORYLATION
BAX	P53_PATHWAY
BAZ2A	ADIPOGENESIS
BBOX1	BILE_ACID_METABOLISM
BCAM	DNA_REPAIR
BCAM	HEME_METABOLISM
BCAN	HYPOXIA
BCAP31	APOPTOSIS
BCAP31	DNA_REPAIR
BCAR1	MITOTIC_SPINDLE
BCAR1	XENOBIOTIC_METABOLISM
BCAR3	BILE_ACID_METABOLISM
BCAR3	TGF_BETA_SIGNALING
